"StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust","OceanBasinUse"
"Pusineri2005","Pusineri2005_58","1993","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","juvenile","N Atlantic"
"Romanov2020","Romanov2020_59","2015","Indian","NW Indian","Trades - Indian Monsoon Gyres Province","MONS","tropical","adult","Indian & S Atlantic"
"Romanov2020","Romanov2020_60","2014","Indian","SW Indian","Trades - Indian S. Subtropical Gyre Province","ISSG","tropical","adult","Indian & S Atlantic"
"Romanov2020","Romanov2020_61","2014","Indian","SW Indian","Coastal - E. Africa Coastal Province","EAFR","tropical","adult","Indian & S Atlantic"
"Romanov2020","Romanov2020_62","2014","S Atlantic","SE Atlantic","Coastal - E. Africa Coastal Province","EAFR","temperate","adult","Indian & S Atlantic"
"Romeo2012","Romeo2012_63","2008","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile","Mediterranean"
"Salman&Karakulak2009","Salman&Karakulak2009_64","2007","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile","Mediterranean"
"Watanabe-etal2004","Watanabe-etal2004_65","2001","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile","N Pacific"
"Watanabe-etal2004","Watanabe-etal2004_66","2002","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile","N Pacific"
"Watanabe-etal2004","Watanabe-etal2004_67","2002","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile","N Pacific"
"Williams2015","Williams2015_68","2010","S Pacific","SW Pacific","Trades - Archipelagic Deep Basins Province","ARCH","tropical","mixed","S Pacific"
"Williams2015","Williams2015_69","2008","S Pacific","SW Pacific","Westerlies - Subantarctic Province","SANT","temperate","mixed","S Pacific"
"Williams2015","Williams2015_70","2009","S Pacific","SW Pacific","Westerlies - Subantarctic Province","SANT","temperate","mixed","S Pacific"
"Williams2015","Williams2015_71","2010","S Pacific","SW Pacific","Coastal - New Zealand Coastal Province","NEWZ","temperate","mixed","S Pacific"
"Williams2015","Williams2015_72","2010","S Pacific","SW Pacific","Coastal - New Zealand Coastal Province","NEWZ","temperate","mixed","S Pacific"
"Williams2015","Williams2015_73","2010","S Pacific","SW Pacific","Westerlies - S. Pacific Subtropical Gyre Province","SPSG","tropical","mixed","S Pacific"
"Young2010","Young2010_74","2006","S Pacific","SW Pacific","Trades - Archipelagic Deep Basins Province","ARCH","temperate","adult","S Pacific"
"Young2010","Young2010_75","2006","S Pacific","SW Pacific","Trades - Archipelagic Deep Basins Province","ARCH","temperate","mixed","S Pacific"
