"prey_sp","maxFO","maxN","maxM","maxTL"
"Nesiarchus nasutus",3,"0.0",0,0
"Notoscopelus kroyeri",15.8,"0.0",6.3,0
"Nyctiphanes australis",27.9,"0.0",20.4,0
"Octopoteuthis nielseni",0.332225913621262,"0.0",0,0
"Octopoteuthis rugosa",1,"0.1",0.2,0
"Octopoteuthis sicula",32.7,"2.37",0.609243441494352,0
"Octopus bimaculatus",15.9,"1.836266258607498",0.182773032448306,0
"Octopus vulgaris",16.6666666666667,"0.0",0,0
"Ocythoe tuberculata",17.2,"0.7",0.6,0
"Odontodactylus hansenii",0.3,"#DIV/0!",0,0
"Odontodactylus scyllarus",27,"5.1",2.4,0
"Ommastrephes bartramii",5,"1.6",6.2,0
"Omosudis lowii",16.7,"0.7",1.2,0
"Onychoteuthis banksii",83.3333333333333,"9.6",5.5,0
"Onychoteuthis borealijaponica",58.5,"7.1",3.3,8
"Onykia loennbergii",0.5,"0.0",0.3,0
"Onykia robusta",6,"0.5",0.3,1
"Opisthoteuthis californiana",0.5,"0.1",0,0
"Oplophorus typus",3.2,"0.5",0.3,0
"Ornithoteuthis antillarum",12,"0.0",0,0
"Ornithoteuthis volatilis",20.7,"3.3",2.8,0
"Ostracion cubicus",1.6,"0.2",0,0
"Palinurus mauritanicus",8,"0.0",0,0
"Paralepis coregonoides",81.4814814814815,"20.38",26.89,0
"Paralepis speciosa",0.8620689655,"17.1",23.04,0
"Parapasiphae sulcatifrons",4,"0.0",0,0
"Parapronoe crustulum",1.5,"0.2",0.1,0
"Parribacus antarcticus",0.5,"0.1",0,0
"Peprilus simillimus",0.5,"0.1",0,0
"Peristedion gracile",3,"0.0",0,0
"Photonectes margarita",0,"0.0",0,0
"Phrosina semilunata",65,"4.2",6.5,0
"Platyscelus armatus",0,"0.0",0,0
"Platyscelus ovoides",9.25925925925926,"1.1",1.3,0
"Platyscelus serratulus",1.85185185185185,"0.06",0.08,0
"Pleuroncodes planipes",27.75,"1.3",23.3,33.8
"Pleuronichthys decurrens",33.33333333,"0.0",0,18
"Polybius henslowii",51.4285714285714,"0.0",1,0
"Primno macropa",2.85714285714286,"0.49",0.24,0
"Protomyctophum crockeri",2.7,"0.2",0,0
"Psenes pellucidus",3,"0.0",0,0
"Pteroctopus tetracirrhus",24,"3.4",0,0
"Pterycombus petersii",4.7,"0.1",2.2,0
"Pterygioteuthis giardi",1.63,"0.16",0,0
"Pterygioteuthis microlampas",0.332225913621262,"0.0",0,0
"Pyrosoma atlanticum",2.85714285714286,"0.0",0,0
"Pyroteuthis margaritifera",1.63,"0.16",0,0
"Ranzania laevis",2.2,"1.3",1.6,0
"Rexea prometheoides",2.2,"0.1",0.7,0
"Rhinogobiops nicholsii",0,"0.0",0,0
"Robustosergia robusta",2.85714285714286,"0.0",0,0
"Salpa maxima",4.8,"1.9",1.3,0
"Sardina pilchardus",3.4,"5.8",7.68,0
"Sardinella aurita",0.8620689655,"0.86",0.86,0
"Sardinops sagax",29.0697674418605,"3.9020657995409334",7.4327699862311,49.2
"Scaeurgus unicirrhus",5,"1.6",0,0
"Scomber japonicus",3,"0.306044376434583",0.00609243441494352,0
"Scomber scombrus",1.1,"0.4",0.2,0
"Scomberesox saurus",64.8148148148148,"2.1",26.3,246.221928802329
"Scombrolabrax heterolepis",0.5,"0.0",0,0
"Scopelarchus analis",6,"1.0",0.9,0
"Scopelogadus bispinosus",2.7,"0.4",0,0
"Scopelosaurus hoedti",0.5,"0.0",0.2,0
"Scyllarus arctus",20.7,"0.0",4.1,0
"Sebastes aleutianus",0,"0.0",0,11.8
"Sebastes brevispinis",1,"0.0",0,12.5
"Sebastes diploproa",1,"0.0",0,16.8
"Sebastes helvomaculatus",0,"0.0",0,0
"Sebastes maliger",0,"0.0",0,0
"Sebastes miniatus",0,"0.0",0,9.9
"Sebastes proriger",1,"0.0",0,14.4
"Sebastes wilsoni",1,"0.0",0,13
"Sebastes zacentrus",0,"0.0",0,19.3
"Selene setapinnis",3,"0.0",0,0
"Sepietta oweniana",2.85714285714286,"0.0",0,0
"Soestia zonaria",8.57142857142857,"0.0",0,0
"Spirula spirula",0.7,"0.1",0,0
"Spondyliosoma cantharus",1.85185185185185,"0.0",0,0
"Stenobrachius leucopsarus",7.6,"0.2",0.2,59.8
"Sternoptyx diaphana",44.4444444444444,"0.1",0,0
"Sternoptyx obscura",0.996677740863787,"0.0",0,0
"Sthenoteuthis oualaniensis",17.9,"7.0",8.5,0
"Stigmatoteuthis dofleini",2.2,"0.6",0.5,0
"Stigmatoteuthis hoylei",1.6,"0.6",1.1,0
"Streetsia challengeri",40,"0.19",0.05,0
"Strongylura exilis",0.996677740863787,"0.0",0,0
"Stylocheiron abbreviatum",16.6666666666667,"0.0",0,0
"Sudis hyalina",0.8620689655,"0.43",0.82,0
"Symbolophorus barnardi",9,"3.7",4.7,0
"Symbolophorus evermanni",0.3,"0.0",0,0
"Syngnathus californiensis",1,"0.0",0,0
"Systellaspis debilis",8,"0.0",0,0
"Taningia danae",3.3,"0.2",0,0
"Taractes asper",0,"0.0",0,0
"Tarletonbeania crenularis",100,"5.4",0,74.8
"Tetragonurus atlanticus",14.2857142857143,"0.0",0,0
"Tetragonurus cuvieri",0.6,"0.0",0,0
"Teuthowenia megalops",16.6666666666667,"0.1",0,201.816615849788
"Thaleichthys pacificus",33.33333333,"0.0",0,0
"Themisto gaudichaudii",54.3,"5.1",27.3,18
"Thyrsitoides marleyi",2.7,"0.4",0.9,0
"Thysanoteuthis rhombus",1.6,"0.0",0.6,0
"Todarodes pacificus",1.5,"0.2",0.4,0
"Todarodes sagittatus",73.7,"9.4",0.3,0
"Todaropsis eblanae",2.777777778,"0.0",13.64,0
"Trachinotus ovatus",1.85185185185185,"0.0",0,0
"Trachipterus trachypterus",0,"0.0",0,0
"Trachurus japonicus",5.6,"0.8",13.9,0
"Trachurus symmetricus",40.6976744186046,"13.69548584544759",27.5378035555447,64.7
"Trachurus trachurus",43,"28.1",42.4,120
"Tremoctopus gracilis",3.2,"0.1",1.5,0
"Tremoctopus violaceus",21.31,"7.42",0,0
"Triphoturus mexicanus",6.97674418604651,"0.4590665646518745",0.000609243441494352,0
"Vampyroteuthis infernalis",0.5,"0.1",0,2.8
"Vibilia gibbosa",0.8620689655,"0.24",0.05,0
"Vinciguerria lucetia",20.1,"0.1",4.95,0
"Walvisteuthis rancureli",26.6,"8.6",11.3,0
