"prey_sp","prey_order","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num"
"Engraulis_japonicus","Clupeiformes","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling","3"
"Engraulis_mordax","Clupeiformes","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
"Entelurus_aequoreus","Syngnathiformes","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling","3"
"Euphausia_pacifica","Euphausiacea","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Eusergestes_arcticus","Decapoda","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Eusergestes_similis","Decapoda","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Gaidropsarus_vulgaris","Gadiformes","juvenile","demersal","continental shelf","diel (no)","season (no)","non-schooling","4"
"Galiteuthis_armata","Oegopsida","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling","5"
"Gonatopsis_borealis","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","2"
"Gonatus_steenstrupi","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Helicocranchia_pfefferi","Oegopsida","adult","mesopelagic","oceanic","diel (no)","season (no)","non-schooling","1"
"Helicolenus_dactylopterus","Scorpaeniformes","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling","3"
"Heteroteuthis_dispar","Sepiida","adult","mesopelagic","continental shelf","diel (yes)","season (no)","non-schooling","7"
"Histioteuthis_bonnellii","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","2"
"Histioteuthis_heteropsis","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","2"
"Histioteuthis_reversa","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","2"
"Icichthys_lockingtoni","Perciformes","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
"Illex_coindetii","Oegopsida","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Janthina_exigua","Caenogastropoda","adult","epipelagic","oceanic","diel (no)","season (no)","non-schooling","3"
"Lampanyctus_crocodilus","Myctophiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Lampanyctus_intricarius","Myctophiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Lestidiops_ringens","Aulopiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Lestidiops_sphyrenoides","Aulopiformes","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Magnisudis_atlantica","Aulopiformes","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling","1"
"Mastigoteuthis_dentata","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling","2"
"Maurolicus_muelleri","Stomiiformes","adult","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Meganyctiphanes_norvegica","Euphausiacea","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Melamphaes_lugubris","Stephanoberyciformes","adult","mesopelagic","oceanic","diel (no)","season (no)","non-schooling","1"
"Merluccius_productus","Gadiformes","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Microgadus_proximus","Gadiformes","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Micromesistius_poutassou","Gadiformes","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Microstomus_pacificus","Pleuronectiformes","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Myctophum_punctatum","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Nannobrachium_ritteri","Myctophiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Nematoscelis_megalops","Euphausiacea","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Notoscopelus_kroyeri","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Octopoteuthis_sicula","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling","2"
"Octopus_bimaculatus","Octopoda","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Octopus_vulgaris","Octopoda","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Ocythoe_tuberculata","Oegopsida","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling","3"
"Onychoteuthis_banksii","Oegopsida","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Onychoteuthis_borealijaponica","Oegopsida","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Onykia_robusta","Oegopsida","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","non-schooling","6"
"Palinurus_mauritanicus","Decapoda","larva","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Paralepis_coregonoides","Aulopiformes","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling","1"
"Phrosina_semilunata","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Platyscelus_armatus","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling","7"
"Platyscelus_ovoides","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling","7"
"Pleuroncodes_planipes","Decapoda","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Pleuronichthys_decurrens","Pleuronectiformes","juvenile","demersal","continental shelf","diel (no)","season (no)","schooling","4"
"Polybius_henslowii","Decapoda","larva","epipelagic","continental shelf","diel (no)","season (no)","schooling","3"
"Protomyctophum_crockeri","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Sardina_pilchardus","Clupeiformes","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
"Sardinops_sagax","Clupeiformes","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
"Scomber_japonicus","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Scomber_scombrus","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Scomberesox_saurus","Beloniformes","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling","3"
"Scyllarus_arctus","Decapoda","larva","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
"Stenobrachius_leucopsarus","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Sternoptyx_diaphana","Stomiiformes","adult","mesopelagic","oceanic","diel (no)","season (yes)","non-schooling","1"
"Streetsia_challengeri","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Stylocheiron_abbreviatum","Euphausiacea","adult","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Tarletonbeania_crenularis","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Tetragonurus_atlanticus","Perciformes","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling","3"
"Tetragonurus_cuvieri","Perciformes","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling","3"
"Teuthowenia_megalops","Oegopsida","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling","5"
"Themisto_gaudichaudii","Amphipoda","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Todarodes_sagittatus","Oegopsida","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Trachurus_symmetricus","Perciformes","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Trachurus_trachurus","Perciformes","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
"Vinciguerria_lucetia","Stomiiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
