"","StudyID","rep_ID","YearEnd","OceanBasin","prob.clust.num","clustFO","totalFO","relFO","yearrepID"
"94","Goni2011","Goni2011_30",2006,"N Atlantic","5",35.3,123.5,0.28582995951417,"2006_Goni2011_30"
"95","Goni2011","Goni2011_30",2006,"N Atlantic","6",70.6,123.5,0.57165991902834,"2006_Goni2011_30"
"96","Goni2011","Goni2011_31",2005,"N Atlantic","2",0.5,100.6,0.00497017892644135,"2005_Goni2011_31"
"97","Goni2011","Goni2011_31",2005,"N Atlantic","3",1.1,100.6,0.010934393638171,"2005_Goni2011_31"
"98","Goni2011","Goni2011_31",2005,"N Atlantic","5",61.7,100.6,0.613320079522863,"2005_Goni2011_31"
"99","Goni2011","Goni2011_31",2005,"N Atlantic","6",37.3,100.6,0.370775347912525,"2005_Goni2011_31"
"100","Goni2011","Goni2011_32",2006,"N Atlantic","3",1.7,124.1,0.0136986301369863,"2006_Goni2011_32"
"101","Goni2011","Goni2011_32",2006,"N Atlantic","5",94.8,124.1,0.763900080580177,"2006_Goni2011_32"
"102","Goni2011","Goni2011_32",2006,"N Atlantic","6",27.6,124.1,0.222401289282836,"2006_Goni2011_32"
"103","Goni2011","Goni2011_33",2007,"N Atlantic","3",12.6,150.2,0.0838881491344874,"2007_Goni2011_33"
"104","Goni2011","Goni2011_33",2007,"N Atlantic","5",81.3,150.2,0.541278295605859,"2007_Goni2011_33"
"105","Goni2011","Goni2011_33",2007,"N Atlantic","6",56.3,150.2,0.374833555259654,"2007_Goni2011_33"
"106","Hart1948","Hart1948_34",1941,"N Pacific","3",1.8691588786,1.8691588786,1,"1941_Hart1948_34"
"107","Hart1948","Hart1948_35",1941,"N Pacific","3",2.551020408,2.551020408,1,"1941_Hart1948_35"
"108","Hart1948","Hart1948_36",1945,"N Pacific","6",2.222222222,2.222222222,1,"1945_Hart1948_36"
"109","Hart1948","Hart1948_37",1946,"N Pacific","3",66.66666667,133.33333333,0.5000000000375,"1946_Hart1948_37"
"110","Hart1948","Hart1948_37",1946,"N Pacific","4",33.33333333,133.33333333,0.24999999998125,"1946_Hart1948_37"
"111","Hart1948","Hart1948_37",1946,"N Pacific","5",33.33333333,133.33333333,0.24999999998125,"1946_Hart1948_37"
"112","Hart1948","Hart1948_38",1946,"N Pacific","3",31.08108108,31.08108108,1,"1946_Hart1948_38"
"113","Hart1948","Hart1948_39",1947,"N Pacific","3",9.090909091,9.090909091,1,"1947_Hart1948_39"
"114","Iversen1962","Iversen1962_40",1957,"N Pacific","2",5.5,21.7,0.253456221198157,"1957_Iversen1962_40"
"115","Iversen1962","Iversen1962_40",1957,"N Pacific","3",12.1,21.7,0.557603686635945,"1957_Iversen1962_40"
"116","Iversen1962","Iversen1962_40",1957,"N Pacific","5",0.6,21.7,0.0276497695852534,"1957_Iversen1962_40"
"117","Iversen1962","Iversen1962_40",1957,"N Pacific","6",2.6,21.7,0.119815668202765,"1957_Iversen1962_40"
"118","Iversen1962","Iversen1962_40",1957,"N Pacific",NA,0.9,21.7,0.0414746543778802,"1957_Iversen1962_40"
"119","Jordan1880","Jordan1880_41",1880,"N Pacific","2",100,200,0.5,"1880_Jordan1880_41"
"120","Jordan1880","Jordan1880_41",1880,"N Pacific","6",100,200,0.5,"1880_Jordan1880_41"
"121","Madigan2015","Madigan2015_43",2010,"N Pacific","2",16.2790697674419,143.023255813953,0.113821138211382,"2010_Madigan2015_43"
"122","Madigan2015","Madigan2015_43",2010,"N Pacific","3",29.0697674418605,143.023255813953,0.203252032520325,"2010_Madigan2015_43"
"123","Madigan2015","Madigan2015_43",2010,"N Pacific","5",90.6976744186046,143.023255813953,0.634146341463415,"2010_Madigan2015_43"
"124","Madigan2015","Madigan2015_43",2010,"N Pacific","6",6.97674418604652,143.023255813953,0.0487804878048781,"2010_Madigan2015_43"
"125","Matthews1977","Matthews1977_44",1964,"N Atlantic","1",3,105,0.0285714285714286,"1964_Matthews1977_44"
"126","Matthews1977","Matthews1977_44",1964,"N Atlantic","2",3,105,0.0285714285714286,"1964_Matthews1977_44"
"127","Matthews1977","Matthews1977_44",1964,"N Atlantic","3",3,105,0.0285714285714286,"1964_Matthews1977_44"
"128","Matthews1977","Matthews1977_44",1964,"N Atlantic","4",6,105,0.0571428571428571,"1964_Matthews1977_44"
"129","Matthews1977","Matthews1977_44",1964,"N Atlantic","5",3,105,0.0285714285714286,"1964_Matthews1977_44"
"130","Matthews1977","Matthews1977_44",1964,"N Atlantic","6",71,105,0.676190476190476,"1964_Matthews1977_44"
"131","Matthews1977","Matthews1977_44",1964,"N Atlantic","7",11,105,0.104761904761905,"1964_Matthews1977_44"
"132","Matthews1977","Matthews1977_44",1964,"N Atlantic",NA,5,105,0.0476190476190476,"1964_Matthews1977_44"
"133","McHugh1952","McHugh1952_45",1949,"N Pacific","2",26.7445182724253,145.416777408638,0.183916317972513,"1949_McHugh1952_45"
"134","McHugh1952","McHugh1952_45",1949,"N Pacific","3",55.3466777408638,145.416777408638,0.380607236160469,"1949_McHugh1952_45"
"135","McHugh1952","McHugh1952_45",1949,"N Pacific","5",19.428903654485,145.416777408638,0.133608404757091,"1949_McHugh1952_45"
"136","McHugh1952","McHugh1952_45",1949,"N Pacific","6",43.8966777408638,145.416777408638,0.301868041109927,"1949_McHugh1952_45"
"137","OrtizZarate1987","OrtizZarate1987_47",1968,"N Atlantic","3",26,103,0.252427184466019,"1968_OrtizZarate1987_47"
"138","OrtizZarate1987","OrtizZarate1987_47",1968,"N Atlantic","5",64,103,0.621359223300971,"1968_OrtizZarate1987_47"
"139","OrtizZarate1987","OrtizZarate1987_47",1968,"N Atlantic","6",13,103,0.12621359223301,"1968_OrtizZarate1987_47"
"140","Pinkas1971","Pinkas1971_48",1968,"N Pacific","1",6.9,283.6,0.0243300423131171,"1968_Pinkas1971_48"
"141","Pinkas1971","Pinkas1971_48",1968,"N Pacific","2",99.1,283.6,0.349435825105783,"1968_Pinkas1971_48"
"142","Pinkas1971","Pinkas1971_48",1968,"N Pacific","3",35.7,283.6,0.125881523272214,"1968_Pinkas1971_48"
"143","Pinkas1971","Pinkas1971_48",1968,"N Pacific","5",124.4,283.6,0.438645980253879,"1968_Pinkas1971_48"
"144","Pinkas1971","Pinkas1971_48",1968,"N Pacific","6",17.5,283.6,0.0617066290550071,"1968_Pinkas1971_48"
"145","Pinkas1971","Pinkas1971_49",1968,"N Pacific","1",2,190.8,0.0104821802935011,"1968_Pinkas1971_49"
"146","Pinkas1971","Pinkas1971_49",1968,"N Pacific","2",52.4,190.8,0.274633123689728,"1968_Pinkas1971_49"
"147","Pinkas1971","Pinkas1971_49",1968,"N Pacific","3",30.5,190.8,0.159853249475891,"1968_Pinkas1971_49"
"148","Pinkas1971","Pinkas1971_49",1968,"N Pacific","5",98.6,190.8,0.516771488469602,"1968_Pinkas1971_49"
"149","Pinkas1971","Pinkas1971_49",1968,"N Pacific","6",7.3,190.8,0.0382599580712788,"1968_Pinkas1971_49"
"150","Pinkas1971","Pinkas1971_50",1969,"N Pacific","1",10.1,275.2,0.0367005813953488,"1969_Pinkas1971_50"
"151","Pinkas1971","Pinkas1971_50",1969,"N Pacific","2",61.8,275.2,0.224563953488372,"1969_Pinkas1971_50"
"152","Pinkas1971","Pinkas1971_50",1969,"N Pacific","3",57.4,275.2,0.208575581395349,"1969_Pinkas1971_50"
"153","Pinkas1971","Pinkas1971_50",1969,"N Pacific","4",0.5,275.2,0.00181686046511628,"1969_Pinkas1971_50"
"154","Pinkas1971","Pinkas1971_50",1969,"N Pacific","5",124.6,275.2,0.452761627906977,"1969_Pinkas1971_50"
