"","dendlabs","prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","maxFO","maxN","maxM","prob.clust.num"
"18",18,"Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",64.81481481,2.1,26.3,4
"19",19,"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",63.2,38.4,0,2
"20",20,"Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis borealijaponica","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",58.5,13.4,3.3,5
"21",21,"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",54.35,11.1,23.3,4
"22",22,"Malacostraca","Amphipoda","Hyperiidae","Themisto gaudichaudii","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",54.3,5.1,27.3,5
"23",23,"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis armata","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",54.28571429,0,0,5
"24",24,"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","adult","mesopelagic","oceanic","diel (yes)","season (yes)","non-schooling",52,4,0.5,2
"25",25,"Malacostraca","Decapoda","Sergestidae","Eusergestes arcticus","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling",52,0,0,1
"26",26,"Malacostraca","Decapoda","Polybiidae","Polybius henslowii","larva","epipelagic","continental shelf","diel (no)","season (no)","schooling",51.42857143,0,1,4
"27",27,"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus crocodilus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",48.57142857,0,0,2
"28",28,"Malacostraca","Decapoda","Sergestidae","Eusergestes similis","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",45,76.5,0,5
"29",29,"Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx diaphana","adult","mesopelagic","oceanic","diel (no)","season (yes)","non-schooling",44.44444444,0.1,0,6
"30",30,"Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",43,28.1,42.4,5
"31",31,"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",41,0,35,4
"32",32,"Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",40.69767442,13.69548585,27.53780356,5
"33",33,"Malacostraca","Amphipoda","Oxyccephalidae","Streetsia challengeri","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",40,0.19,0.05,1
"34",34,"Malacostraca","Euphausiacea","Euphausiidae","Euphausia pacifica","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",38.9,43.1,0,5
"35",35,"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",38.88888889,0,0,2
"36",36,"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",38.5,9,0,2
"37",37,"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus intricarius","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",37.03703704,0,0,2
"38",38,"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis felis","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",36.4,11.3,2.132352045,5
"39",39,"Cephalopoda","Oegopsida","Chiroteuthidae","Chiroteuthis veranii","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling",36.06,8.69,0,5
"40",40,"Gastropoda","Littorinimorpha","Carinariidae","Carinaria lamarckii","adult","epipelagic","oceanic","diel (yes)","season (yes)","non-schooling",34.28571429,0,0,5
"41",41,"Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",33.33333333,0,0,2
"42",42,"Actinopterygii","Gadiformes","Gadidae","Microgadus proximus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",33.33333333,0.5,0,1
"43",43,"Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",33.33333333,0,0,5
"44",44,"Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","juvenile","epipelagic","continental shelf","diel (no)","season (no)","schooling",33.33333333,0,0,4
"45",45,"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys decurrens","juvenile","demersal","continental shelf","diel (no)","season (no)","schooling",33.33333333,0,0,7
"46",46,"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",33.33333333,0,0,4
"47",47,"Cephalopoda","Oegopsida","Onychoteuthidae","Ancistroteuthis lichtensteinii","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",33,4.9,0.71,1
"48",48,"Cephalopoda","Oegopsida","Lycoteuthidae","Lycoteuthis lorigera","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",32.8,17.3,25.8,2
"49",49,"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis sicula","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",32.7,2.37,0.609243441,2
"50",50,"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",31.48148148,0,0,5
"51",51,"Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling",30,0,0.07,1
"52",52,"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus maderensis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",29.62962963,0,0,2
"53",53,"Cephalopoda","Oegopsida","Brachioteuthidae","Brachioteuthis riisei","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",29.62962963,0,0,2
"54",54,"Actinopterygii","Clupeiformes","Engraulidae","Engraulis encrasicolus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",29.2,1.5,20,5
"55",55,"Actinopterygii","Clupeiformes","Clupeidae","Sardinops sagax","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",29.06976744,3.9020658,7.432769986,5
"56",56,"Cephalopoda","Oegopsida","Gonatidae","Gonatopsis borealis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",28.8,15.8,10.8,2
"57",57,"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis reversa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",28,2.05,0.86,2
"58",58,"Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes australis","adult","epipelagic","coastal","diel (yes)","season (yes)","schooling",27.9,0,20.4,5
"59",59,"Malacostraca","Decapoda","Munididae","Pleuroncodes planipes","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",27.75,1.3,23.3,1
"60",60,"Malacostraca","Stomatopoda","Odontodacylidae","Odontodactylus scyllarus","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",27,5.1,2.4,3
"61",61,"Cephalopoda","Oegopsida","Onychoteuthidae","Walvisteuthis rancureli","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",26.6,8.6,11.3,2
"62",62,"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",24.07407407,0,0,1
"63",63,"Cephalopoda","Octopoda","Octopodidae","Pteroctopus tetracirrhus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",24,3.4,0,1
"64",64,"Cephalopoda","Oegopsida","Gonatidae","Gonatus steenstrupi","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",23.5,3.5,0.3,2
"65",65,"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes hectoris","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",23.4,11.7,10.8,2
"66",66,"Cephalopoda","Oegopsida","Mastigoteuthidae","Mastigoteuthis dentata","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",22.5,1.8,0.2,2
"67",67,"Cephalopoda","Octopoda","Tremoctopodidae","Tremoctopus violaceus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling",21.31,7.42,0,4
"68",68,"Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis volatilis","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",20.7,3.3,2.8,1
"69",69,"Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","larva","epipelagic","coastal","diel (yes)","season (yes)","schooling",20.7,0,4.1,5
"70",70,"Actinopterygii","Stomiiformes","Phosichthyidae","Vinciguerria lucetia","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",20.1,0.1,4.95,2
"71",71,"Cephalopoda","Oegopsida","Ommastrephidae","Sthenoteuthis oualaniensis","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",17.9,7,8.5,6
"72",72,"Cephalopoda","Oegopsida","Ocythoidae","Ocythoe tuberculata","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling",17.2,0.7,0.6,4
"73",73,"Cephalopoda","Octopoda","Octopodidae","Octopus vulgaris","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",16.66666667,0,0,4
"74",74,"Cephalopoda","Oegopsida","Cranchiidae","Teuthowenia megalops","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",16.66666667,0.1,0,5
"75",75,"Malacostraca","Euphausiacea","Euphausiidae","Stylocheiron abbreviatum","adult","epipelagic","coastal","diel (no)","season (yes)","schooling",16.66666667,0,0,4
"76",76,"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",16.3,4.4,4.9,6
"77",77,"Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling",16,0,0,4
"78",78,"Hydrozoa","Siphonophorae","Diphyidae","Chelophyes appendiculata","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",16,0,0,1
"79",79,"Cephalopoda","Octopoda","Octopodidae","Octopus bimaculatus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",15.9,1.836266259,0.182773032,4
"80",80,"Actinopterygii","Myctophiformes","Myctophidae","Notoscopelus kroyeri","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",15.8,0,6.3,2
"81",81,"Actinopterygii","Perciformes","Caproidae","Capros aper","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",14.28571429,0.22,0.06,3
"82",82,"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling",14.28571429,0,0,4
"83",83,"Actinopterygii","Osmeriformes","Microstomatidae","Nansenia macrolepis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",13.6,5,4.2,2
"84",84,"Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",13.4,6.044376435,22.66385602,1
"85",85,"Cephalopoda","Octopoda","Argonautidae","Argonauta argo","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",13.11,2.37,1.6,4
"86",86,"Cephalopoda","Oegopsida","Ommastrephidae","Illex argentinus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",12,0,0,1
"87",87,"Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis antillarum","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",12,0,0,3
"88",88,"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",11.11111111,0,0,2
"89",89,"Actinopterygii","Perciformes","Sparidae","Boops boops","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",11.11111111,0,0,3
"90",90,"Gastropoda","Pteropoda","Cliidae","Clio pyramidata","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",11.11111111,0,0,5
"91",91,"Malacostraca","Decapoda","Alpheidae","Alpheus glaber","larva","epipelagic","coastal","diel (yes)","season (no)","schooling",11.11111111,0,0,3
"92",92,"Malacostraca","Lophogastrida","Gnathophausiidae","Neognathophausia ingens","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",11.11111111,0,0,2
"93",93,"Actinopterygii","Myctophiformes","Myctophidae","Benthosema glaciale","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",10.3,0.1,0.7,2
"94",94,"Cephalopoda","Oegopsida","Ommastrephidae","Illex coindetii","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",10.3,2.13,3.3,1
"95",95,"Actinopterygii","Clupeiformes","Engraulidae","Engraulis capensis","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",10,3.8,4.4,5
"96",96,"Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",10,0,0,4
"97",97,"Gastropoda","Pteropoda","Cavoliniidae","Cavolinia tridentata","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",10,0,0.1,5
"98",98,"Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon niger","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",9.5,1.7,1.6,2
"99",99,"Malacostraca","Amphipoda","Platyscelidae","Platyscelus ovoides","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",9.259259259,1.1,1.3,3
"100",100,"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus barnardi","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",9,3.7,4.7,2
"101",101,"Actinopterygii","Beloniformes","Belonidae","Belone belone","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",8.7,0,7.1,4
"102",102,"Thaliacea","Salpida","Salpidae","Soestia zonaria","adult","epipelagic","coastal","diel (yes)","season (yes)","schooling",8.571428571,0,0,5
"103",103,"Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",8.2,2,2.4,6
"104",104,"Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","juvenile","demersal","continental shelf","diel (no)","season (no)","non-schooling",8,0,0,7
"105",105,"Actinopterygii","Perciformes","Gempylidae","Diplospinus multistriatus","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","non-schooling",8,0,0,3
"106",106,"Cephalopoda","Octopoda","Eledonidae","Eledone cirrhosa","juvenile","demersal","continental shelf","diel (yes)","season (no)","non-schooling",8,0.16,0,3
"107",107,"Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",8,0,0,2
"108",108,"Malacostraca","Decapoda","Palinuridae","Palinurus mauritanicus","larva","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",8,0,0,1
"109",109,"Actinopterygii","Myctophiformes","Myctophidae","Diaphus lucidus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",7.9,5.8,4.4,2
"110",110,"Actinopterygii","Myctophiformes","Myctophidae","Diaphus perspicillatus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",7.9,5.8,5,2
"111",111,"Malacostraca","Stomatopoda","Lysiosquillidae","Lysiosquilla tredecimdentata","juvenile","epipelagic","coastal","diel (yes)","season (no)","schooling",7.9,0.9,0.7,3
"112",112,"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus townsendi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",7.7,0.6,0,2
"113",113,"Actinopterygii","Myctophiformes","Myctophidae","Stenobrachius leucopsarus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",7.6,0.2,0.2,2
"114",114,"Cephalopoda","Oegopsida","Cranchiidae","Helicocranchia pfefferi","adult","mesopelagic","oceanic","diel (no)","season (no)","non-schooling",7.407407407,0,0,6
"115",115,"Cephalopoda","Oegopsida","Ancistrocheiridae","Ancistrocheirus lesueurii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",7,0.4,0.5,5
"116",116,"Actinopterygii","Myctophiformes","Myctophidae","Triphoturus mexicanus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",6.976744186,0.459066565,0.000609243,2
"117",117,"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",6,1,0.9,2
"118",118,"Cephalopoda","Oegopsida","Onychoteuthidae","Onykia robusta","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","non-schooling",6,0.5,0.3,1
"119",119,"Actinopterygii","Stephanoberyciformes","Melamphaidae","Melamphaes lugubris","adult","mesopelagic","oceanic","diel (no)","season (no)","non-schooling",5.9,1.1,0,6
"120",120,"Actinopterygii","Myctophiformes","Myctophidae","Electrona risso","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.714285714,0.1,0.1,2
"121",121,"Gastropoda","Caenogastropoda","Epitoniodea","Janthina exigua","adult","epipelagic","oceanic","diel (no)","season (no)","non-schooling",5.714285714,0,0,4
"122",122,"Malacostraca","Amphipoda","Hyperiidae","Hyperia galba","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5.714285714,0,0,5
"123",123,"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.6,0.8,0.2,2
"124",124,"Actinopterygii","Myctophiformes","Myctophidae","Diaphus theta","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.6,9.8,0.2,2
"125",125,"Actinopterygii","Perciformes","Carangidae","Trachurus japonicus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",5.6,0.8,13.9,5
"126",126,"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus alatus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.555555556,0,0,2
"127",127,"Actinopterygii","Perciformes","Blenniidae","Blennius ocellaris","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling",5.555555556,0,0,4
"128",128,"Actinopterygii","Perciformes","Gempylidae","Gempylus serpens","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5.2,0.748765334,0.5,2
"129",129,"Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","non-schooling",5,0,0,3
"130",130,"Cephalopoda","Octopoda","Argonautidae","Argonauta nodosus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",5,0,0.1,4
"131",131,"Cephalopoda","Octopoda","Octopodidae","Scaeurgus unicirrhus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",5,1.6,0,1
"132",132,"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia redfieldi","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5,0,0,5
"133",133,"Cephalopoda","Oegopsida","Ommastrephidae","Ommastrephes bartramii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5,1.6,6.2,5
"134",134,"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis morisii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",4.9,3.4,3.4,2
"135",135,"Cephalopoda","Oegopsida","Ommastrephidae","Eucleoteuthis luminosa","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",4.9,1.3,1.9,5
"136",136,"Thaliacea","Salpida","Salpidae","Salpa maxima","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",4.8,1.9,1.3,5
"137",137,"Actinopterygii","Perciformes","Bramidae","Pterycombus petersii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",4.7,0.1,2.2,5
"138",138,"Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus imperatorius","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",4.2,0.2,0.1,2
"139",139,"Malacostraca","Amphipoda","Phrosinidae","Anchylomera blossevillei","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",4.2,1.65,3.3,1
"140",140,"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",4,0,0,2
"141",141,"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",4,0,0,4
"142",142,"Actinopterygii","Myctophiformes","Myctophidae","Lobianchia gemellarii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",4,0.1,0,2
"143",143,"Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",4,0,0,7
"144",144,"Malacostraca","Decapoda","Axiidae","Axius stirhynchus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",4,0,0,5
"145",145,"Malacostraca","Decapoda","Benthesicymidae","Gennadas elegans","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",4,0,0,3
"146",146,"Malacostraca","Decapoda","Pasiphaeidae","Parapasiphae sulcatifrons","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",4,0,0,2
"147",147,"Hexanauplia","Calanoida","Calanidae","Calanus finmarchicus","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",3.703703704,0,0,5
"148",148,"Malacostraca","Isopoda","Idoteidae","Idotea metallica","adult","epipelagic","continental shelf","diel (no)","season (yes)","schooling",3.703703704,0,0,4
"149",149,"Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3.4,5.8,7.68,5
"150",150,"Cephalopoda","Oegopsida","Octopoteuthidae","Taningia danae","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",3.3,0.2,0,5
"151",151,"Cephalopoda","Octopoda","Tremoctopodidae","Tremoctopus gracilis","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling",3.2,0.1,1.5,4
"152",152,"Malacostraca","Decapoda","Oplophoroidae","Oplophorus typus","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",3.2,0.5,0.3,3
"153",153,"Malacostraca","Decapoda","Pandalidae","Heterocarpus laevigatus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",3.2,0.3,0.1,1
"154",154,"Actinopterygii","Perciformes","Bramidae","Brama orcini","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3,0.159311773,0,1
"155",155,"Actinopterygii","Perciformes","Caproidae","Antigonia capros","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",3,0,0,3
"156",156,"Actinopterygii","Perciformes","Carangidae","Selene setapinnis","juvenile","demersal","coastal","diel (no)","season (no)","schooling",3,0,0,7
"157",157,"Actinopterygii","Perciformes","Gempylidae","Nealotus tripes","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",3,0,0.1,2
"158",158,"Actinopterygii","Perciformes","Gempylidae","Nesiarchus nasutus","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",3,0,0,5
"159",159,"Actinopterygii","Perciformes","Nomeidae","Psenes pellucidus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",3,0,0,4
"160",160,"Actinopterygii","Perciformes","Scombridae","Scomber japonicus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3,0.306044376,0.006092434,1
"161",161,"Actinopterygii","Scorpaeniformes","Peristediidae","Peristedion gracile","juvenile","demersal","continental shelf","diel (no)","season (no)","schooling",3,0,0,7
"162",162,"Cephalopoda","Oegopsida","Ommastrephidae","Hyaloteuthis pelagica","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling",2.9,0,0.5,5
"163",163,"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",2.857142857,0,0,7
