"prey_sp","prey_age_reported_1","maxTL","meanGAPE","l_adult","meanLENGTH","meanFRAC","larva_adult_use","juve_adult_use","life_stage","maxFO"
"Diaphus theta","none",0,7.106738725,11.4,7.106738725,62.339813377193,12.0175438596491,48.2456140350877,"adult",5.6
"Diplodus sargus","none",0,7.75767,45,7.75767,17.2392666666667,2.22222222222222,46.6666666666667,"juvenile",2.85714285714286
"Diplospinus multistriatus","none",16.4220276449808,10.0703,35.8891994890309,16.4220276449808,45.7575757575757,5.27272727272728,48.4848484848483,"juvenile",8
"Diretmus argenteus","none",0,9.61765,27.6,9.61765,34.8465579710145,7.26130563738931,47.4285714285714,"juvenile",11.4
"Doryteuthis opalescens","none",0,7.505832,29.1308192945636,7.505832,25.7659488533532,7.89473684210526,36.8421052631578,"juvenile",13.4
"Dosidicus gigas","none",0,7.6836,400,7.6836,1.9209,0.257281831938865,7.425,"juvenile",1.16279069767442
"Echinosquilla guerinii","none",0,7.2721,8.1,7.2721,89.779012345679,13.2277038321486,35.9384836382273,"adult",0.6
"Eledone cirrhosa","none",0,7.7770105,55,7.7770105,14.1400190909091,6.0905033122694,20.1818181818182,"juvenile",8
"Engraulis capensis","none",0,9.61765,15.3617088191079,9.61765,62.6079436425519,12.2660925374482,61.8420783251879,"adult",10
"Engraulis encrasicolus","juvenile",0,7.10887166666667,23.5535435247491,7.10887166666667,30.1817501863232,7.49999999999999,48.4999999999999,"juvenile",29.2
"Engraulis japonicus","juvenile",0,6.7721275,18,6.7721275,37.6229305555556,13.1692453542801,44.1944444444444,"juvenile",85.4
"Engraulis mordax","juvenile",5.52097178451032,7.498425,29.1319362246502,4.72971529741839,16.2354992848581,16.1290322580645,38.7096774193549,"juvenile",69.7
"Entelurus aequoreus","none",0,7.07915222222222,60,7.07915222222222,11.798587037037,9.15408758669816,42.1173584659917,"juvenile",41
"Eucleoteuthis luminosa","none",0,9.07172666666667,36.7587919884038,9.07172666666667,24.6790663565019,5.46255506607929,41.8502202643173,"juvenile",4.9
"Euphausia pacifica","adult",0,7.38732,2.5,2.5,100,13.2277038321486,48.8211077844311,"adult",38.9
"Eusergestes arcticus","adult",0,7.75767,1.4,1.4,100,13.2277038321486,10.7407407407407,"adult",52
"Eusergestes similis","adult",0,7.38732,5.4,5.4,100,13.2277038321486,10.7407407407407,"adult",45
"Eutrigla gurnardus","none",0,7.75767,60,7.75767,12.92945,6.08438381424107,31.3333333333333,"juvenile",4
"Funchalia taaningi","none",0,9.61765,2.3,2.3,100,13.2277038321486,28.0637965930401,"adult",1.6
"Funchalia woodwardi","none",0,9.61765,16,9.61765,60.1103125,13.2277038321486,28.0637965930401,"adult",0.7
"Gaidropsarus vulgaris","none",0,7.75767,65,7.75767,11.9348769230769,3.07692307692308,41.5384615384615,"juvenile",8
"Galiteuthis armata","none",0,7.75767,75.5721945597443,7.75767,10.2652437780765,2.13114754098361,57.3770491803278,"juvenile",54.2857142857143
"Galiteuthis phyllura","none",0,7.38732,365.4754479286,7.38732,2.02129036078046,3.70370370370369,65.8859289617486,"larva",0
"Gempylus serpens","none",0,8.8358,110.491173119859,8.8358,7.99683789257543,3.30944055944056,46.4999999999999,"juvenile",5.2
"Gennadas elegans","juvenile",0,7.75767,4.5,4.5,100,13.2277038321486,28.0637965930401,"juvenile",4
"Glyptocephalus zachirus","none",0,7.38732,60,7.38732,12.3122,11.1666666666667,33.3333333333333,"juvenile",0
"Gonatopsis borealis","none",0,6.64534435,58.4100445745581,6.64534435,11.3770574879762,3.03030303030302,66.6666666666665,"juvenile",28.8
"Gonatus berryi","none",0,7.0256938,39.8325071084157,7.0256938,17.6380908710505,4.16666666666667,66.6666666666665,"juvenile",1.5
"Gonatus californiensis","juvenile",0.12,7.97988,52.8112311388557,0.12,0.22722439415299,4.76705851619644,66.6666666666665,"juvenile",0
"Gonatus onyx","juvenile",0.15,7.97988,28.044109345056,0.15,0.534871684297023,6.13793103448275,66.6666666666665,"juvenile",1
"Gonatus pyros","juvenile",0,7.97988,NA,NA,NA,4.76705851619644,66.6666666666665,"juvenile",0
"Gonatus steenstrupi","none",0,7.24741,24.8335621726836,7.24741,29.1839324121289,4.76705851619644,66.6666666666665,"juvenile",23.5
"Grimalditeuthis bonplandi","none",0,9.61765,56.0818912394107,9.61765,17.1492968361975,4,46.6657905243552,"juvenile",0.5
"Halichoeres nicholsi","none",0,7.38732,38,7.38732,19.4403157894737,4.87857020853057,36.7942330347152,"juvenile",0
"Haliphron atlanticus","none",0,9.15677,190.43070490154,9.15677,4.80845250493317,9.02460995505148,31.7196364549059,"larva",5
"Helicocranchia pfefferi","none",0,7.75767,NA,NA,NA,13.1045461445052,65.8859289617486,"adult",7.40740740740741
"Helicolenus dactylopterus","none",0,7.75767,50,7.75767,15.51534,8,64,"juvenile",16
"Heterocarpus laevigatus","none",0,9.61765,18,9.61765,53.4313888888889,13.2277038321486,28.0637965930401,"adult",3.2
"Histioteuthis bonnellii","juvenile",0,6.3762645,113.583592549183,6.3762645,5.61371969040247,6.84210526315788,21.2121212121211,"juvenile",63.2
"Histioteuthis heteropsis","none",0,7.38732,39.9342857142858,7.38732,18.4986907061601,6.84210526315788,41.6666666666665,"juvenile",1.5
"Histioteuthis meleagroteuthis","none",0,9.61765,38.5419251560217,9.61765,24.9537353442174,6.84210526315788,57.0175438596491,"juvenile",0.5
"Histioteuthis reversa","none",0,8.02150028571429,53.9912621016317,8.02150028571429,14.857034219009,6.84210526315788,26.3157894736841,"juvenile",28
"Hyaloteuthis pelagica","none",0,9.175699,13.8829059855913,9.175699,66.0935038350271,7.22222222222219,51.111111111111,"adult",2.9
"Hygophum hygomii","none",0,9.61765,8.30730748030718,8.30730748030718,100,14.5588235294118,69.8180489135516,"adult",0.7
"Hyperia galba","none",0,7.75767,1.2,1.2,100,13.2277038321486,35.9384836382273,"adult",5.71428571428571
"Icichthys lockingtoni","none",0,7.505832,46,7.505832,16.3170260869565,4.23913043478261,30.2666666666667,"juvenile",1
"Idotea metallica","none",0,7.75767,NA,NA,NA,13.2277038321486,35.9384836382273,"adult",3.7037037037037
"Illex argentinus","adult",0,9.15677,57.8452103294623,9.15677,15.8297808026747,1.75757575757576,43.0303030303031,"adult",12
"Illex coindetii","none",0,7.8653184,57.0039842758757,7.8653184,13.7978397473677,6.25,64.6875,"juvenile",10.3
"Janicella spinicauda","none",0,9.61765,1.04,1.04,100,13.2277038321486,28.0637965930401,"adult",2.2
"Janthina exigua","none",0,7.75767,1.53,1.53,100,NA,NA,"adult",5.71428571428571
"Japetella diaphana","none",0,8.501662,16,8.501662,53.1353875,9.02460995505148,34.375,"adult",4.8
"Japetella heathi","none",0,8.4296495,12.6368500116914,8.4296495,66.7068889177369,9.02460995505148,34.375,"adult",7
"Katsuwonus pelamis","none",0,7.2721,110,7.2721,6.611,2.45454545454545,36.3636363636364,"juvenile",0.6
"Lactoria diaphana","none",0,7.2721,34,7.2721,21.3885294117647,2,30,"juvenile",0.3
