"prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus lucidus","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","fusiform",9,0,"0","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus lucidus","larva","epipelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",12,0,"0","0","0","0","schooling","3.2","none"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","juvenile","epipelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","fusiform",NA,0,"0","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","larva","epipelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","fusiform",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus perspicillatus","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",7.1,0,"0","0","0","0","schooling","3.12","none"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus perspicillatus","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","fusiform",5,0,"0","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus perspicillatus","larva","epipelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","fusiform",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",6.8,0,"0","0","1","0","schooling","3","none"
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","fusiform",5.8,0,"0","0","1","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","larva","epipelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",0.99,0,"1","0","1","0","schooling","NA","none"
