"prey_class","prey_order","prey_family","prey_sp","life_stage","l_type","measure","length","l_type_use","b_shape_r","eye_body_r","standard_total","length_tl"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes helvomaculatus","juvenile","SL","l_min",1.56,"SL",3.67718121552379,0.0887188039965689,0.812776151928417,1.91934765346977
"Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","adult","TL","l_min",14.4,"TL",5.27966750641171,0.0478082696597609,0.815625378346048,14.4
"Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","juvenile","SL","l_min",1.6,"SL",5.27966750641171,0.0478082696597609,0.815625378346048,1.96168491378301
"Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","adult","TL","l_min",25,"TL",5.30219415600652,0.0577646710368977,0.801525786105415,25
"Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","juvenile","SL","l_min",1.6,"SL",5.30219415600652,0.0577646710368977,0.801525786105415,1.99619279596024
"Cephalopoda","Oegopsida","Chiroteuthidae","Chiroteuthis veranii","adult",NA,"l_min",NA,NA,11.6644740226409,0.0586785201725694,0.271312387273858,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes zacentrus","adult","TL","l_min",25,"TL",3.50502083253311,0.0833197204195825,0.819017038602922,25
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes zacentrus","juvenile","SL","l_min",1.675,"SL",3.50502083253311,0.0833197204195825,0.819017038602922,2.04513449788201
"Actinopterygii","Myctophiformes","Myctophidae","Stenobrachius leucopsarus","adult","TL","l_min",6.5,"TL",5.64555456520043,0.0655351293399513,0.781457705446176,6.5
"Actinopterygii","Myctophiformes","Myctophidae","Stenobrachius leucopsarus","juvenile","SL","l_min",2,"SL",5.64555456520043,0.0655351293399513,0.781457705446176,2.55931957169466
"Actinopterygii","Myctophiformes","Myctophidae","Triphoturus mexicanus","adult","TL","l_min",4.5,"TL",5.7750810354473,0.0596396598199934,0.840212201732717,4.5
"Actinopterygii","Myctophiformes","Myctophidae","Triphoturus mexicanus","juvenile","SL","l_min",1.8,"SL",5.7750810354473,0.0596396598199934,0.840212201732717,2.14231594862342
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","adult",NA,"l_min",NA,NA,7.24017278915502,0.0483869077256095,0.847811199607507,NA
"Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","adult","TL","l_min",19.05,"TL",3.08840717440099,0.0498449029907888,0.803649579721794,19.05
"Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","juvenile","TL","l_min",1.82,"TL",3.08840717440099,0.0498449029907888,0.803649579721794,1.82
"Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","larva","TL","l_min",0.3,"TL",3.08840717440099,0.0498449029907888,0.803649579721794,0.3
"Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","adult","TL","l_min",19.5,"TL",3.41657197942979,0.0867147442540671,0.713113471899246,19.5
"Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","juvenile","TL","l_min",1.9,"TL",3.41657197942979,0.0867147442540671,0.713113471899246,1.9
"Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","larva","TL","l_min",0.326,"TL",3.41657197942979,0.0867147442540671,0.713113471899246,0.326
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","adult","TL","l_min",16,"TL",6.09838378126636,0.0363555883334569,0.82531001977582,16
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","juvenile","SL","l_min",1.95,"SL",6.09838378126636,0.0363555883334569,0.82531001977582,2.36274848635629
"Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","adult",NA,"l_min",NA,NA,3.54899162799449,0.0656944011878248,0.795002498249248,NA
"Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","larva","TL","l_min",0.58,"TL",3.54899162799449,0.0656944011878248,0.795002498249248,0.58
"Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","adult","TL","l_min",2.9,"TL",5.03513221969598,0.0826074375229732,0.83924115783412,2.9
"Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","juvenile","SL","l_min",1.95,"SL",5.03513221969598,0.0826074375229732,0.83924115783412,2.32352760800302
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","larva",NA,"l_min",NA,NA,4.93265216108913,0.0584555161744779,0.863521681715712,NA
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","adult","TL","l_min",7.955,"TL",6.26684961558926,0.0537760888707213,0.843716614900789,7.955
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","juvenile","SL","l_min",2,"SL",6.26684961558926,0.0537760888707213,0.843716614900789,2.37046416377041
"Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","adult","TL","l_min",27,"TL",6.4651481241763,0.024239527685904,0.855757068784669,27
"Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","juvenile","TL","l_min",2,"TL",6.4651481241763,0.024239527685904,0.855757068784669,2
"Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","larva","TL","l_min",0.285,"TL",6.4651481241763,0.024239527685904,0.855757068784669,0.285
"Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium regale","adult",NA,"l_min",NA,NA,5.85569241330535,0.0418980138519684,0.875994838700788,NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys decurrens","adult",NA,"l_min",NA,NA,2.17992144497205,0.0653012604649287,0.746755950455122,NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys decurrens","larva","TL","l_min",0.49,"TL",2.17992144497205,0.0653012604649287,0.746755950455122,0.49
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","adult",NA,"l_min",NA,NA,7.03038592298802,0.033169196394893,0.864974547475142,NA
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","adult","TL","l_min",37,"TL",3.1598513936562,0.0647942449902524,0.78534665219502,37
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","juvenile","SL","l_min",2.15,"SL",3.1598513936562,0.0647942449902524,0.78534665219502,2.73764457261111
"Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania crenularis","adult","TL","l_min",5,"TL",5.1341670180892,0.0655478664524842,0.820391900815025,5
"Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania crenularis","juvenile","SL","l_min",2.17,"SL",5.1341670180892,0.0655478664524842,0.820391900815025,2.64507730737492
"Actinopterygii","Beloniformes","Belonidae","Belone belone","adult","TL","l_min",28.5,"TL",16.6221510919748,0.0222358496041477,0.882398975225071,28.5
"Actinopterygii","Beloniformes","Belonidae","Belone belone","juvenile","TL","l_min",2.23,"TL",16.6221510919748,0.0222358496041477,0.882398975225071,2.23
"Actinopterygii","Beloniformes","Belonidae","Belone belone","larva","TL","l_min",0.9,"TL",16.6221510919748,0.0222358496041477,0.882398975225071,0.9
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus crocodilus","larva","TL","l_min",0.648,"TL",6.15136139603933,0.0417813908391866,0.82051681154952,0.648
"Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","adult","TL","l_min",14.2,"TL",5.52412749794924,0.0494582661192675,0.815914191662073,14.2
"Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","juvenile","TL","l_min",2.48,"TL",5.52412749794924,0.0494582661192675,0.815914191662073,2.48
"Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","larva","TL","l_min",0.28,"TL",5.52412749794924,0.0494582661192675,0.815914191662073,0.28
"Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","adult","TL","l_min",23.9,"TL",4.8924695405584,0.0638402681199028,0.82144819907875,23.9
"Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","juvenile","SL","l_min",2.5,"SL",4.8924695405584,0.0638402681199028,0.82144819907875,3.0434055401226
"Actinopterygii","Perciformes","Gobiidae","Rhinogobiops nicholsii","adult","SL","l_min",4.5,"SL",5.61690913542632,0.0534081222517407,0.793358591426083,5.67208832000058
"Actinopterygii","Stomiiformes","Stomiidae","Bathophilus flemingi","adult",NA,"l_min",NA,NA,8.63390629331855,0.0230372481335795,0.913341896122662,NA
"Cephalopoda","Vampyromorpha","Vampyroteuthidae","Vampyroteuthis infernalis","adult",NA,"l_min",NA,NA,4.15852949529725,0.0516419598155347,0.414939715660567,NA
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","adult","TL","l_min",21.4,"TL",5.20221713727506,0.0561951864483175,0.825122567585587,21.4
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","juvenile","SL","l_min",2.6,"SL",5.20221713727506,0.0561951864483175,0.825122567585587,3.15104701063738
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","adult","TL","l_min",31,"TL",2.55847714890812,0.128268692801878,1.47079120826414,31
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","juvenile","SL","l_min",2.6,"SL",2.55847714890812,0.128268692801878,1.47079120826414,1.76775601145222
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","adult",NA,"l_min",NA,NA,6.35846921353883,0.0748245896814489,0.867001809269728,NA
"Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","larva","SL","l_min",0.263,"SL",3.51737223401035,0.039496938235589,0.909395083791833,0.289203234861783
"Actinopterygii","Lampriformes","Trachipteridae","Desmodema polystictum","adult",NA,"l_min",NA,NA,8.33741098344183,0.0331874830787504,1,NA
"Actinopterygii","Lampriformes","Trachipteridae","Desmodema polystictum","larva",NA,"l_min",NA,NA,8.33741098344183,0.0331874830787504,1,NA
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","adult","TL","l_min",11.5,"TL",6.81360990942104,0.108228867341122,0.82346975625736,11.5
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","juvenile","TL","l_min",3,"TL",6.81360990942104,0.108228867341122,0.82346975625736,3
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","larva","BL","l_min",0.79,"TL",6.81360990942104,0.108228867341122,0.82346975625736,0.79
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","adult","TL","l_min",47,"TL",3.44813167281453,0.066079419193207,0.816623068821829,47
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","juvenile","FL","l_min",5,"TL",3.44813167281453,0.066079419193207,0.816623068821829,5
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","adult","TL","l_min",46,"TL",3.74810972555259,0.0555220631499954,0.825567017191471,46
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","juvenile","FL","l_min",15,"TL",3.74810972555259,0.0555220631499954,0.825567017191471,15
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","adult","TL","l_min",19,"TL",3.20009858931128,0.096231285478705,0.821099034572286,19
"Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","adult","TL","l_min",18.8,"TL",6.40572232260977,0.0602178177136664,0.821775902482851,18.8
"Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","juvenile","SL","l_min",3,"SL",6.40572232260977,0.0602178177136664,0.821775902482851,3.65063028854464
"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","adult","TL","l_min",6,"TL",2.95439822313399,0.0599815112173624,0.843008555060385,6
"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","juvenile","SL","l_min",3.2,"SL",2.95439822313399,0.0599815112173624,0.843008555060385,3.79592826287603
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","adult","TL","l_min",34,"TL",6.49748619084254,0.0486430765926478,0.837947923926827,34
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","juvenile","SL","l_min",3.5,"SL",6.49748619084254,0.0486430765926478,0.837947923926827,4.17687054297855
"Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","adult","TL","l_min",16,"TL",6.51127522425103,0.0309252386581621,0.809484301403514,16
"Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","juvenile","SL","l_min",3.5,"SL",6.51127522425103,0.0309252386581621,0.809484301403514,4.32374042823507
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes wilsoni","adult",NA,"l_min",NA,NA,4.25181965637455,0.0949185405562745,0.821857164149424,NA
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","adult",NA,"l_min",NA,NA,10.9266963783864,0.0387212899111857,0.924875956471755,NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","adult","TL","l_min",11.9,"TL",2.93052140880576,0.069999433867943,0.837175390427177,11.9
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","juvenile","SL","l_min",3.8,"SL",2.93052140880576,0.069999433867943,0.837175390427177,4.5390727480188
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","adult","TL","l_min",30,"TL",3.98091485544002,0.0736096758688669,0.813559216125657,30
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","juvenile","SL","l_min",3.8,"SL",3.98091485544002,0.0736096758688669,0.813559216125657,4.67083394137726
"Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","adult","TL","l_min",32,"TL",3.54761376551636,0.0866750693526003,0.796634072240436,32
"Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","juvenile","TL","l_min",4,"TL",3.54761376551636,0.0866750693526003,0.796634072240436,4
"Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","larva","SL","l_min",0.244,"SL",3.54761376551636,0.0866750693526003,0.796634072240436,0.306288681971359
"Actinopterygii","Lampriformes","Trachipteridae","Trachipterus trachypterus","adult","TL","l_min",180,"TL",7.87153747452638,0.0243140692848239,0.867575305124447,180
"Actinopterygii","Lampriformes","Trachipteridae","Trachipterus trachypterus","juvenile","SL","l_min",5.6,"SL",7.87153747452638,0.0243140692848239,0.867575305124447,6.45477109240301
"Actinopterygii","Pleuronectiformes","Pleutonectidae","Microstomus pacificus","adult","TL","l_min",38,"TL",3.33606856229464,0.0486218254940133,0.828591254800021,38
"Actinopterygii","Pleuronectiformes","Pleutonectidae","Microstomus pacificus","juvenile","TL","l_min",6.5,"TL",3.33606856229464,0.0486218254940133,0.828591254800021,6.5
"Actinopterygii","Pleuronectiformes","Pleutonectidae","Microstomus pacificus","larva","TL","l_min",0.9,"TL",3.33606856229464,0.0486218254940133,0.828591254800021,0.9
"Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","adult","TL","l_min",20,"TL",3.2163878553716,0.0509482465071595,0.816510145473304,20
"Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","juvenile","TL","l_min",6.7,"TL",3.2163878553716,0.0509482465071595,0.816510145473304,6.7
"Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","larva","TL","l_min",0.5,"TL",3.2163878553716,0.0509482465071595,0.816510145473304,0.5
"Actinopterygii","Ophidiiformes","Ophdiidae","Chilara taylori","adult",NA,"l_min",NA,NA,6.88167236075799,0.0412058946597092,1,NA
"Actinopterygii","Ophidiiformes","Ophdiidae","Chilara taylori","juvenile","SL","l_min",7,"SL",6.88167236075799,0.0412058946597092,1,7
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","adult","TL","l_min",52.8,"TL",5.49404925178233,0.0257709118576891,0.849833637963547,52.8
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","juvenile","SL","l_min",2.1,"SL",5.49404925178233,0.0257709118576891,0.849833637963547,2.47107187358719
"Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","adult","TL","l_min",50,"TL",9.95801472670632,0.016591182179499,1,50
"Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","juvenile","SL","l_min",8.2,"SL",9.95801472670632,0.016591182179499,1,8.2
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","adult","TL","l_min",55.8,"TL",5.51641012123528,0.0235684456096152,0.780066691479545,55.8
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","juvenile","FL","l_min",14,"TL",5.51641012123528,0.0235684456096152,0.780066691479545,14
"Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","adult","TL","l_min",49.475,"TL",4.70501050417852,0.0648165101356274,0.796390424852737,49.475
"Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","juvenile","TL","l_min",14.6,"TL",4.70501050417852,0.0648165101356274,0.796390424852737,14.6
"Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","larva",NA,"l_min",NA,NA,4.70501050417852,0.0648165101356274,0.796390424852737,NA
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","adult","TL","l_min",43,"TL",14.4544897925629,0.019153685579617,0.937415037925359,43
"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","adult",NA,"l_min",NA,NA,16.7569898991592,0.0290059908698257,0.950882935761352,NA
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","adult","TL","l_min",40,"TL",9.59635272287898,0.0451398212789234,0.880258498623057,40
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","juvenile",NA,"l_min",NA,NA,9.59635272287898,0.0451398212789234,0.880258498623057,NA
"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","adult",NA,"l_min",NA,NA,18.1076610441128,0.0256648342771058,0.903840389806804,NA
"Actinopterygii","Perciformes","Blenniidae","Blennius ocellaris","adult","TL","l_min",9.73,"TL",4.27898298111615,0.128342694057521,0.794358354390595,9.73
"Actinopterygii","Perciformes","Blenniidae","Blennius ocellaris","juvenile",NA,"l_min",NA,NA,4.27898298111615,0.128342694057521,0.794358354390595,NA
"Actinopterygii","Perciformes","Bramidae","Brama orcini","adult",NA,"l_min",NA,NA,2.65651997711393,0.0628232329953204,0.692844722207276,NA
"Actinopterygii","Perciformes","Caproidae","Antigonia capros","adult","TL","l_min",12,"TL",1.12770537703403,0.0968418878724362,0.754523587756125,12
"Actinopterygii","Perciformes","Caproidae","Antigonia capros","juvenile",NA,"l_min",NA,NA,1.12770537703403,0.0968418878724362,0.754523587756125,NA
"Actinopterygii","Perciformes","Caproidae","Capros aper","adult","TL","l_min",8.2,"TL",2.2884468276774,0.114707019421275,0.761140992517296,8.2
"Actinopterygii","Perciformes","Caproidae","Capros aper","juvenile",NA,"l_min",NA,NA,2.2884468276774,0.114707019421275,0.761140992517296,NA
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","adult","TL","l_min",5,"TL",3.15000114304272,0.0738456376905071,0.796069697673337,5
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","juvenile",NA,"l_min",NA,NA,3.15000114304272,0.0738456376905071,0.796069697673337,NA
"Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","adult",NA,"l_min",NA,NA,3.41979947279233,0.0277324102424729,0.796787526077235,NA
"Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","juvenile",NA,"l_min",NA,NA,3.41979947279233,0.0277324102424729,0.796787526077235,NA
"Actinopterygii","Scorpaeniformes","Peristediidae","Peristedion gracile","adult","TL","l_min",6.7,"TL",7.00831660987058,0.0661433652812038,0.858836449279762,6.7
"Actinopterygii","Scorpaeniformes","Peristediidae","Peristedion gracile","juvenile",NA,"l_min",NA,NA,7.00831660987058,0.0661433652812038,0.858836449279762,NA
"Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus bispinosus","adult","TL","l_min",5.15,"TL",3.85897411764706,0.0443592445172871,0.792700772652774,5.15
"Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus bispinosus","juvenile",NA,"l_min",NA,NA,3.85897411764706,0.0443592445172871,0.792700772652774,NA
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus olfersii","adult",NA,"l_min",NA,NA,1.97490772453378,0.0879693791807599,0.759731568098875,NA
"Actinopterygii","Stomiiformes","Stomiidae","Melanostomias valdiviae","adult",NA,"l_min",NA,NA,8.47931829038694,0.0198837793099334,0.915505536804047,NA
"Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","adult","TL","l_min",6.5,"TL",4.17374262668894,0.0748579500793388,0.864082841873616,6.5
"Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","juvenile",NA,"l_min",NA,NA,4.17374262668894,0.0748579500793388,0.864082841873616,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","adult",NA,"l_min",NA,NA,43.6346062047949,0.011636577001968,1,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus californiensis","adult",NA,"l_min",NA,NA,34.5803593403889,0.00678291814946619,1,NA
"Branchiopoda","Onychopoda","Podonidae","Pseudevadne tergestina","adult","TL","l_min",0.08,"TL",1.62453712813478,0.0949881937048882,1,0.08
"Cephalopoda","Octopoda","Amphitretidae","Japetella diaphana","adult","TL","l_min",5.5,"TL",2.41709492497973,0.0766530196669182,0.61086806725147,5.5
"Cephalopoda","Octopoda","Amphitretidae","Japetella diaphana","juvenile",NA,"l_min",NA,NA,2.41709492497973,0.0766530196669182,0.61086806725147,NA
"Cephalopoda","Octopoda","Octopodidae","Octopus bimaculatus","adult","TL","l_min",18,"TL",4.44408165922352,0.0544349539609095,0.269818757528046,18
"Cephalopoda","Octopoda","Octopodidae","Octopus bimaculatus","juvenile",NA,"l_min",NA,NA,4.44408165922352,0.0544349539609095,0.269818757528046,NA
"Cephalopoda","Octopoda","Tremoctopodidae","Tremoctopus violaceus","adult","TL","l_min",13.6,"TL",6.49987429003084,0.0462089931268043,0.209050599127472,13.6
"Cephalopoda","Octopoda","Tremoctopodidae","Tremoctopus violaceus","juvenile",NA,"l_min",NA,NA,6.49987429003084,0.0462089931268043,0.209050599127472,NA
"Cephalopoda","Oegopsida","Ocythoidae","Ocythoe tuberculata","adult",NA,"l_min",NA,NA,4.32431861565924,0.0367497032079742,0.328540792686309,NA
"Hexanauplia","Calanoida","Calanidae","Calanus finmarchicus","adult",NA,"l_min",NA,NA,4.41728752798318,0,0.677102832890904,NA
"Hexanauplia","Calanoida","Calanidae","Cosmocalanus darwinii darwinii","adult","TL","l_min",0.16,"TL",NA,NA,NA,0.16
"Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus furcatus","adult",NA,"l_min",NA,NA,4.03446365232285,0,0.673972171989902,NA
"Hexanauplia","Cyclopoida","Corycaeidae","Farranula gibbula","adult",NA,"l_min",NA,NA,3.77559603155814,0.076180969174325,0.789886783462311,NA
"Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus crusculum","adult",NA,"l_min",NA,NA,4.25470332127997,0.117075714794915,0.778255217418605,NA
"Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus macrocephalus","adult",NA,"l_min",NA,NA,NA,NA,NA,NA
"Malacostraca","Amphipoda","Eupronoidae","Parapronoe crustulum","adult",NA,"l_min",NA,NA,NA,NA,NA,NA
"Malacostraca","Amphipoda","Hyperiidae","Hyperia galba","adult",NA,"l_min",NA,NA,4.69329916751324,0.0968753927922142,0.753191106079826,NA
"Malacostraca","Amphipoda","Hyperiidae","Themisto gaudichaudii","adult","TL","l_min",1.2,"TL",6.25356215453494,0.0840376199812439,0.710987936277947,1.2
"Malacostraca","Amphipoda","Lanceolidae","Lanceola sayana","adult",NA,"l_min",NA,NA,5.06871091333009,0.0132677644501132,0.802402134627143,NA
"Malacostraca","Amphipoda","Oxyccephalidae","Leptocotis tenuirostris","adult",NA,"l_min",NA,NA,6.21056671208793,0.0172819328361617,0.849778449289707,NA
"Malacostraca","Amphipoda","Oxyccephalidae","Streetsia challengeri","adult",NA,"l_min",NA,NA,9.18011155706689,0.0117965713139551,1,NA
"Malacostraca","Amphipoda","Phrosinidae","Anchylomera blossevillei","adult",NA,"l_min",NA,NA,NA,NA,NA,NA
"Malacostraca","Amphipoda","Phrosinidae","Phrosina semilunata","adult",NA,"l_min",NA,NA,NA,NA,NA,NA
"Malacostraca","Amphipoda","Phrosinidae","Primno macropa","adult",NA,"l_min",NA,NA,3.70957175022018,0.0491267042457699,0.854280552124258,NA
"Malacostraca","Amphipoda","Platyscelidae","Platyscelus armatus","adult",NA,"l_min",NA,NA,3.10386403779342,0.109729688296038,0.855740099944753,NA
"Malacostraca","Amphipoda","Platyscelidae","Platyscelus ovoides","adult","TL","l_min",1.2,"TL",NA,NA,NA,1.2
"Malacostraca","Amphipoda","Platyscelidae","Platyscelus serratulus","adult",NA,"l_min",NA,NA,1.90921008077212,0.186856235473001,0.819778085013478,NA
"Malacostraca","Amphipoda","Vibiliidae","Vibilia gibbosa","adult",NA,"l_min",NA,NA,NA,NA,NA,NA
"Malacostraca","Decapoda","Alpheidae","Alpheus glaber","adult",NA,"l_min",NA,NA,5.77047205247166,0.0282400040246912,0.880318216897512,NA
"Malacostraca","Decapoda","Benthesicymidae","Gennadas elegans","adult",NA,"l_min",NA,NA,7.52257060327305,0.0328718905848096,0.79198758295141,NA
"Malacostraca","Decapoda","Munididae","Pleuroncodes planipes","adult","TL","l_min",1.45,"TL",2.74890108810733,0.076695823464348,0.881384669985547,1.45
"Malacostraca","Decapoda","Munididae","Pleuroncodes planipes","juvenile",NA,"l_min",NA,NA,2.74890108810733,0.076695823464348,0.881384669985547,NA
"Malacostraca","Decapoda","Palinuridae","Palinurus mauritanicus","adult","TL","l_min",9,"TL",4.01477645492096,0.0330114041531213,0.849305753986266,9
"Malacostraca","Decapoda","Palinuridae","Palinurus mauritanicus","juvenile","TL","l_min",2.41,"TL",4.01477645492096,0.0330114041531213,0.849305753986266,2.41
"Malacostraca","Decapoda","Palinuridae","Palinurus mauritanicus","larva",NA,"l_min",NA,NA,4.01477645492096,0.0330114041531213,0.849305753986266,NA
"Malacostraca","Decapoda","Pasiphaeidae","Parapasiphae sulcatifrons","adult","TL","l_min",1.9,"TL",6.55043095224812,0.0167285363984211,0.840108606565698,1.9
"Malacostraca","Decapoda","Pasiphaeidae","Parapasiphae sulcatifrons","juvenile","TL","l_min",1.6,"TL",6.55043095224812,0.0167285363984211,0.840108606565698,1.6
"Malacostraca","Decapoda","Pasiphaeidae","Parapasiphae sulcatifrons","larva","TL","l_min",0.85,"TL",6.55043095224812,0.0167285363984211,0.840108606565698,0.85
"Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","adult","TL","l_min",2.1,"TL",3.76001132176856,0.0373931413000973,0.839270023685461,2.1
"Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","juvenile",NA,"l_min",NA,NA,3.76001132176856,0.0373931413000973,0.839270023685461,NA
"Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","larva","TL","l_min",0.1,"TL",3.76001132176856,0.0373931413000973,0.839270023685461,0.1
"Malacostraca","Decapoda","Sergestidae","Eusergestes arcticus","adult",NA,"l_min",NA,NA,8.8580992758633,0.0309819418689772,0.820557585951111,NA
"Malacostraca","Decapoda","Sergestidae","Eusergestes similis","adult","TL","l_min",0.58,"TL",8.23421273219414,0.0250970751388895,0.832763026335911,0.58
"Malacostraca","Decapoda","Sergestidae","Eusergestes similis","juvenile",NA,"l_min",NA,NA,8.23421273219414,0.0250970751388895,0.832763026335911,NA
"Malacostraca","Euphausiacea","Euphausiidae","Euphausia pacifica","adult",NA,"l_min",NA,NA,10.5898904840173,0.0600867421253654,0.839843473229237,NA
