"prey_class","prey_order","prey_family","prey_sp","life_stage","l_type","measure","length","l_type_use","b_shape_r","eye_body_r","standard_total","length_tl"
"Cephalopoda","Oegopsida","Brachioteuthidae","Brachioteuthis riisei","larva","ML","l_min",0.2,"SL",6.88338765892976,0.0672648224495483,0.645379956290468,0.309894966601636
"Cephalopoda","Oegopsida","Cranchiidae","Cranchia scabra","adult","ML","l_min",13,"SL",2.48701521305014,0.071597931105658,0.720488112559805,18.0433233711693
"Cephalopoda","Oegopsida","Cranchiidae","Cranchia scabra","juvenile","ML","l_min",3.8,"SL",2.48701521305014,0.071597931105658,0.720488112559805,5.27420221618795
"Cephalopoda","Oegopsida","Cranchiidae","Cranchia scabra","larva","ML","l_min",0.33,"SL",2.48701521305014,0.071597931105658,0.720488112559805,0.458022824037375
"Cephalopoda","Octopoda","Octopodidae","Pteroctopus tetracirrhus","adult","ML","l_min",10,"SL",4.82976307604367,0.022015242262005,0.278256642571842,35.9380459261386
"Cephalopoda","Octopoda","Octopodidae","Pteroctopus tetracirrhus","juvenile","ML","l_min",0.67,"SL",4.82976307604367,0.022015242262005,0.278256642571842,2.40784907705129
"Cephalopoda","Octopoda","Octopodidae","Pteroctopus tetracirrhus","larva","ML","l_min",0.45,"SL",4.82976307604367,0.022015242262005,0.278256642571842,1.61721206667624
"Cephalopoda","Oegopsida","Cranchiidae","Teuthowenia megalops","adult","GL","l_min",18.2,"SL",5.12634433631194,0.103749234778993,0.639194148890172,28.4733520036135
"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis phyllura","adult",NA,"l_min",NA,NA,6.28905342475231,0.0642329269337908,0.73876371594939,NA
"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis phyllura","larva",NA,"l_min",NA,NA,6.28905342475231,0.0642329269337908,0.73876371594939,NA
"Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","adult","ML","l_min",6,"SL",4.00770390564239,0.0953678953034641,0.494758846292766,12.1271202020097
"Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","juvenile",NA,"l_min",NA,NA,4.00770390564239,0.0953678953034641,0.494758846292766,NA
"Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","adult",NA,"l_min",NA,NA,3.27946932088237,0.0528972083864895,0.210050159824181,NA
"Cephalopoda","Octopoda","Amphitretidae","Japetella heathi","adult",NA,"l_min",NA,NA,1.98082364587567,0.102038974294297,0.633069158263217,NA
