dendlabs,prey_class,prey_order,prey_family,prey_sp,life_stage,vertical habitat,horizontal habitat,diel migrant,refuge use,seasonal migrant,gregarious,prob.clust.num
91,Actinopterygii,Gadiformes,Merlucciidae,Merluccius productus,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
101,Malacostraca,Euphausiacea,Euphausiidae,Nematoscelis megalops,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
108,Cephalopoda,Octopoda,Opisthoteuthidae,Opisthoteuthis californiana,larva,mesopelagic,continental slope,diel (yes),refuge (no),season (no),schooling,3
109,Malacostraca,Decapoda,Oplophoroidae,Oplophorus typus,adult,mesopelagic,continental slope,diel (yes),refuge (no),season (no),schooling,3
112,Malacostraca,Amphipoda,Eupronoidae,Parapronoe crustulum,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,3
114,Malacostraca,Amphipoda,Phrosinidae,Phrosina semilunata,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
115,Malacostraca,Amphipoda,Platyscelidae,Platyscelus serratulus,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
121,Actinopterygii,Clupeiformes,Clupeidae,Sardinella aurita,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (no),schooling,3
124,Actinopterygii,Perciformes,Scombridae,Scomber scombrus,juvenile,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
139,Malacostraca,Amphipoda,Oxyccephalidae,Streetsia challengeri,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
148,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes pacificus,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
149,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
150,Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis eblanae,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
156,Malacostraca,Amphipoda,Vibiliidae,Vibilia gibbosa,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,3
6,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma fimbria,juvenile,epipelagic,continental shelf,diel (no),refuge (no),season (yes),schooling,4
8,Cephalopoda,Octopoda,Argonautidae,Argonauta argo,adult,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,4
9,Cephalopoda,Octopoda,Argonautidae,Argonauta nodosus,adult,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,4
12,Actinopterygii,Atheriniformes,Atherinidae,Atherinopsis californiensis,juvenile,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,4
13,Actinopterygii,Beloniformes,Belonidae,Belone belone,juvenile,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,4
20,Actinopterygii,Perciformes,Bramidae,Brama brama,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
27,Actinopterygii,Perciformes,Pomacentridae,Chromis punctipinnis,juvenile,epipelagic,coastal,diel (yes),refuge (yes),season (yes),schooling,4
30,Actinopterygii,Clupeiformes,Clupeidae,Clupea pallasii pallasii,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
32,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena hippurus,larva,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
45,Actinopterygii,Clupeiformes,Engraulidae,Engraulis capensis,adult,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
46,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
48,Actinopterygii,Clupeiformes,Engraulidae,Engraulis mordax,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
52,Malacostraca,Decapoda,Sergestidae,Eusergestes similis,adult,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
68,Malacostraca,Amphipoda,Hyperiidae,Hyperia galba,adult,epipelagic,oceanic,diel (yes),refuge (yes),season (yes),schooling,4
71,Actinopterygii,Perciformes,Scombridae,Katsuwonus pelamis,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
78,Malacostraca,Amphipoda,Oxyccephalidae,Leptocotis tenuirostris,adult,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
79,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
95,Actinopterygii,Perciformes,Mugilidae,Mugil cephalus,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
99,Actinopterygii,Myctophiformes,Myctophidae,Nannobrachium regale,larva,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
102,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes australis,adult,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
105,Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes bartramii,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
106,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
107,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis borealijaponica,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
120,Actinopterygii,Clupeiformes,Clupeidae,Sardina pilchardus,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
122,Actinopterygii,Clupeiformes,Clupeidae,Sardinops sagax,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
123,Actinopterygii,Perciformes,Scombridae,Scomber japonicus,larva,epipelagic,continental shelf,diel (no),refuge (no),season (yes),schooling,4
125,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,larva,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,4
140,Malacostraca,Euphausiacea,Euphausiidae,Stylocheiron abbreviatum,adult,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,4
146,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys pacificus,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,4
147,Malacostraca,Amphipoda,Hyperiidae,Themisto gaudichaudii,adult,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,4
151,Actinopterygii,Perciformes,Carangidae,Trachinotus ovatus,juvenile,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,4
152,Actinopterygii,Perciformes,Carangidae,Trachurus japonicus,juvenile,epipelagic,coastal,diel (yes),refuge (yes),season (yes),schooling,4
153,Actinopterygii,Perciformes,Carangidae,Trachurus symmetricus,juvenile,epipelagic,oceanic,diel (yes),refuge (yes),season (yes),schooling,4
154,Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,juvenile,epipelagic,coastal,diel (yes),refuge (yes),season (yes),schooling,4
22,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis maculata,juvenile,epipelagic,coastal,diel (no),refuge (yes),season (no),schooling,5
31,Actinopterygii,Beloniformes,Scomberesocidae,Cololabis saira,juvenile,epipelagic,oceanic,diel (no),refuge (yes),season (yes),schooling,5
47,Actinopterygii,Clupeiformes,Engraulidae,Engraulis japonicus,juvenile,epipelagic,continental shelf,diel (no),refuge (yes),season (yes),schooling,5
89,Actinopterygii,Perciformes,Kyphosidae,Medialuna californiensis,juvenile,epipelagic,reef-associated,diel (no),refuge (yes),season (yes),schooling,5
111,Actinopterygii,Tetraodontiformes,Ostraciidae,Ostracion cubicus,juvenile,epipelagic,oceanic,diel (no),refuge (yes),season (yes),solitary,5
131,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes proriger,juvenile,epipelagic,continental shelf,diel (no),refuge (yes),season (no),schooling,5
135,Actinopterygii,Perciformes,Sparidae,Spondyliosoma cantharus,juvenile,epipelagic,coastal,diel (no),refuge (yes),season (no),schooling,5
144,Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus atlanticus,juvenile,epipelagic,oceanic,diel (no),refuge (yes),season (no),schooling,5
145,Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus cuvieri,juvenile,epipelagic,oceanic,diel (no),refuge (yes),season (no),schooling,5
26,Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,juvenile,demersal,continental shelf,diel (no),refuge (no),season (yes),schooling,6
29,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys sordidus,juvenile,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,6
34,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster aggregata,adult,demersal,coastal,diel (no),refuge (yes),season (yes),schooling,6
39,Actinopterygii,Perciformes,Sparidae,Diplodus sargus,juvenile,demersal,reef-associated,diel (no),refuge (yes),season (yes),schooling,6
51,Malacostraca,Decapoda,Sergestidae,Eusergestes arcticus,juvenile,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,6
53,Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla gurnardus,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,6
56,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus vulgaris,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (no),solitary,6
58,Actinopterygii,Pleutonectiformes,Pleuronectidae,Glyptocephalus zachirus,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (no),solitary,6
61,Actinopterygii,Perciformes,Labridae,Halichoeres nicholsi,juvenile,demersal,reef-associated,diel (no),refuge (yes),season (no),schooling,6
84,Actinopterygii,Sygnathiformes,Centriscidae,Macroramphosus scolopax,adult,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,6
92,Actinopterygii,Gadiformes,Gadidae,Microgadus proximus,adult,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,6
94,Actinopterygii,Pleuronectiformes,Pleutonectidae,Microstomus pacificus,juvenile,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,6
96,Actinopterygii,Perciformes,Mullidae,Mullus barbatus barbatus,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,6
116,Malacostraca,Decapoda,Munididae,Pleuroncodes planipes,adult,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,6
119,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii,adult,benthic,continental shelf,diel (no),refuge (yes),season (yes),schooling,6
130,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes diploproa,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,6
132,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes zacentrus,juvenile,demersal,continental shelf,diel (yes),refuge (yes),season (no),schooling,6
40,Actinopterygii,Perciformes,Gempylidae,Diplospinus multistriatus,juvenile,mesopelagic,continental shelf,diel (yes),refuge (no),season (no),solitary,7
49,Cephalopoda,Oegopsida,Ommastrephidae,Eucleoteuthis luminosa,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (no),schooling,7
50,Malacostraca,Euphausiacea,Euphausiidae,Euphausia pacifica,adult,epipelagic,oceanic,diel (yes),refuge (no),season (no),schooling,7
85,Actinopterygii,Perciformes,Istiophoridae,Makaira mazara,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,7
86,Actinopterygii,Tetraodontiformes,Molidae,Masturus lanceolatus,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (no),solitary,7
118,Actinopterygii,Tetraodontiformes,Molidae,Ranzania laevis,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,7
136,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,adult,mesopelagic,oceanic,diel (no),refuge (no),season (no),solitary,7
83,Malacostraca,Stomatopoda,Lysiosquillidae,Lysiosquilla tredecimdentata,adult,benthic,coastal,diel (no),refuge (yes),season (no),solitary,8
104,Malacostraca,Stomatopoda,Odontodacylidae,Odontodactylus scyllarus,adult,benthic,reef-associated,diel (no),refuge (yes),season (no),solitary,8
113,Malacostraca,Decapoda,Scyllaridae,Parribacus antarcticus,adult,benthic,reef-associated,diel (no),refuge (yes),season (no),solitary,8
