"prey_class","prey_order","prey_family","prey_sp","measure","adult","juvenile","larva","larva_adult","juve_adult"
"Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus bispinosus","l_max",11,5.15,NA,NA,46.8181818181818
"Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus bispinosus","l_min",5.15,NA,NA,NA,NA
"Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus mizolepis bispinosus","l_max",NA,NA,NA,NA,NA
"Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus mizolepis bispinosus","l_min",NA,NA,0.18,NA,NA
"Actinopterygii","Stomiiformes","Phosichthyidae","Vinciguerria lucetia","l_max",8,4.5,1.45,18.125,56.25
"Actinopterygii","Stomiiformes","Phosichthyidae","Vinciguerria lucetia","l_min",4.5,1.45,0.45,10,32.2222222222222
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","l_max",9.86711726325134,2.49649954853347,NA,NA,25.3012048192771
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","l_min",2.49649954853347,0.832166516177824,NA,NA,33.3333333333334
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus olfersii","l_max",11,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus olfersii","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus imperatorius","l_max",8.16645656565657,5.10403535353535,NA,NA,62.4999999999999
"Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus imperatorius","l_min",5.10403535353535,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","l_max",8,2.9,2.32352760800302,29.0440951000377,36.25
"Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","l_min",2.9,2.32352760800302,0.536198678769929,18.4896096127562,80.1216416552765
"Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx diaphana","l_max",7.46188117014716,3.52743473497866,1.53307740404842,20.5454545454546,47.2727272727273
"Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx diaphana","l_min",3.52743473497866,1.53307740404842,0.936126910436643,26.5384615384615,43.4615384615385
"Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx obscura","l_max",5.85848610281474,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx obscura","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Stomiidae","Bathophilus flemingi","l_max",16,NA,2.7372006152494,17.1075038453087,NA
"Actinopterygii","Stomiiformes","Stomiidae","Bathophilus flemingi","l_min",NA,2.7372006152494,0.328464073829927,NA,NA
"Actinopterygii","Stomiiformes","Stomiidae","Melanostomias valdiviae","l_max",24.1,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Stomiidae","Melanostomias valdiviae","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Stomiidae","Photonectes margarita","l_max",50.6015982154685,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Stomiidae","Photonectes margarita","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","l_max",20,6.5,NA,NA,32.5
"Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","l_min",6.5,NA,0.3,4.61538461538461,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","l_max",60,NA,NA,NA,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus californiensis","l_max",50,NA,NA,NA,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus californiensis","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Tetraodontiformes","Balistidae","Balistes punctatus","l_max",60,NA,NA,NA,NA
"Actinopterygii","Tetraodontiformes","Balistidae","Balistes punctatus","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","l_max",50,9.98474423304788,NA,NA,19.9694884660958
