"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","stomachs_used","pred_life","lat_cat","pred_life_adjust","province","code","optional"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Southern California (Region 1)",32,-119.5,"Jul–Sep",1969,"200","juvenile, adult","temperate","mixed","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pusineri2005","2005.0","N Atlantic","NE Atlantic","Bay of Biscay",45,-17.5,"Jun–Sep",1993,"27","juvenile","temperate","juvenile","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Romanov2020","2020.0","Indian","NW Indian","Indian Monsoon Gyre Province",-8,57,"Multi-month",2015,"150","adult","tropical","adult","Trades - Indian Monsoon Gyres Province","MONS",TRUE
"Romanov2020","2020.0","Indian","SW Indian","Indian South Subtropical Gyre Province, Reunion Island",-19,53,"Multi-month",2014,"184","adult","tropical","adult","Trades - Indian S. Subtropical Gyre Province","ISSG",TRUE
"Romanov2020","2020.0","Indian","SW Indian","Mozambique Channel, Madagascar",-15.5,42.76,"Multi-month",2014,"63","adult","tropical","adult","Coastal - E. Africa Coastal Province","EAFR",TRUE
"Romanov2020","2020.0","S Atlantic","SE Atlantic","Atlantic Ocean off Cape Town, South Africa",-35,18,"Multi-month",2014,"290","adult","temperate","adult","Coastal - E. Africa Coastal Province","EAFR",TRUE
"Romeo2012","2012.0","Mediterranean","Mediterranean","S. Tyrrhenian sea and Strait of Messina",38.6,15,NA,2008,"none reported","juvenile","temperate","juvenile","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Salman&Karakulak2009","2009.0","Mediterranean","Mediterranean","Antalya Bay (Levantine Sea)",36.5,31.5,"May-July",2007,"61","juvenile","temperate","juvenile","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Watanabe-etal2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",40,163,"September",2001,"14","juvenile","temperate","juvenile","Westerlies - N. Pacific Polar Front Province","NPPF",TRUE
"Watanabe-etal2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,"July",2002,"46","juvenile","temperate","juvenile","Westerlies - N. Pacific Polar Front Province","NPPF",TRUE
"Watanabe-etal2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,"May-June",2002,"64","juvenile","temperate","juvenile","Westerlies - N. Pacific Polar Front Province","NPPF",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Caledonia",-19,168,"Feb–Oct",2010,"340","juvenile, adult","tropical","mixed","Trades - Archipelagic Deep Basins Province","ARCH",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Zealand",-42.5,170,"Jan–Apr",2008,"144","juvenile, adult","temperate","mixed","Westerlies - Subantarctic Province","SANT",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Zealand",-42.5,170,"Jan–Mar",2009,"50","juvenile, adult","temperate","mixed","Westerlies - Subantarctic Province","SANT",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Zealand",-40,178,"Apr–May",2010,"27","juvenile, adult","temperate","mixed","Coastal - New Zealand Coastal Province","NEWZ",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Zealand",-40,178,"Apr–May",2010,"11","juvenile, adult","temperate","mixed","Coastal - New Zealand Coastal Province","NEWZ",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","Tonga",-20,-175.093115,"Jun–Jul",2010,"42","juvenile, adult","tropical","mixed","Westerlies - S. Pacific Subtropical Gyre Province","SPSG",TRUE
"Young2010","2010.0","S Pacific","SW Pacific","Eastern Australia, offshore, Eastern Tuna and Billfish fishery",-31,160,"Year-round",2006,"10","adult","temperate","adult","Trades - Archipelagic Deep Basins Province","ARCH",TRUE
"Young2010","2010.0","S Pacific","SW Pacific","Eastern Australia, offshore, Eastern Tuna and Billfish fishery",-30,160,"Year-round",2006,"36","juvenile, adult","temperate","mixed","Trades - Archipelagic Deep Basins Province","ARCH",TRUE
