"prey_class","prey_order","prey_family","prey_sp","measure","l_adult","l_juve","l_larva","larva_adult","juve_adult","larva_adult_u","juve_adult_u","larva_adult_use","juve_adult_use"
"Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","l_max",70,19.5,1.9,2.71428571428571,27.8571428571429,2.83716522622231,39.0625189036153,2.71428571428571,27.8571428571429
"Actinopterygii","Perciformes","Carangidae","Trachurus japonicus","l_max",50,17.1,1.32617249687705,2.6523449937541,34.2,2.83716522622231,39.0625189036153,2.6523449937541,34.2
"Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","l_max",81,25,1.99619279596024,2.4644355505682,30.8641975308642,2.83716522622231,39.0625189036153,2.4644355505682,30.8641975308642
"Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","l_max",70,23.9,3.0434055401226,4.34772220017514,34.1428571428571,2.83716522622231,39.0625189036153,4.34772220017514,34.1428571428571
"Actinopterygii","Perciformes","Centrolophidae","Centrolophus niger","l_max",187.826915701525,56.8489464856616,NA,NA,30.2666666666667,4.23913043478261,30.2666666666667,4.23913043478261,30.2666666666667
"Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","l_max",46,NA,1.95,4.23913043478261,NA,4.23913043478261,30.2666666666667,4.23913043478261,30.2666666666667
"Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon niger","l_max",29.9384245654508,NA,NA,NA,NA,4.87857020853057,36.7942330347152,4.87857020853057,36.7942330347152
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","l_max",210,55.8,14,6.66666666666667,26.5714285714286,6.66666666666667,26.5714285714286,6.66666666666667,26.5714285714286
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","l_max",20.3,5,NA,NA,24.6305418719212,4.87857020853057,24.6305418719212,4.87857020853057,24.6305418719212
"Actinopterygii","Perciformes","Gempylidae","Diplospinus multistriatus","l_max",35.8891994890309,17.4008239946816,1.89233960942163,5.27272727272728,48.4848484848483,3.30944055944056,40.673597904993,5.27272727272728,48.4848484848483
"Actinopterygii","Perciformes","Gempylidae","Gempylus serpens","l_max",110.491173119859,51.3783955007343,NA,NA,46.4999999999999,3.30944055944056,40.673597904993,3.30944055944056,46.4999999999999
"Actinopterygii","Perciformes","Gempylidae","Lepidocybium flavobrunneum","l_max",237.33400519218,30,NA,NA,12.6404136548859,3.30944055944056,40.673597904993,3.30944055944056,12.6404136548859
"Actinopterygii","Perciformes","Gempylidae","Nealotus tripes","l_max",29.0688749083811,17.4413249450287,NA,NA,60.0000000000001,3.30944055944056,40.673597904993,3.30944055944056,60.0000000000001
"Actinopterygii","Perciformes","Gempylidae","Nesiarchus nasutus","l_max",147.885079148294,28.8944693105128,1.99076068084242,1.34615384615385,19.5384615384615,3.30944055944056,40.673597904993,1.34615384615385,19.5384615384615
"Actinopterygii","Perciformes","Gempylidae","Rexea prometheoides","l_max",46.4932403148315,NA,NA,NA,NA,3.30944055944056,40.673597904993,3.30944055944056,40.673597904993
"Actinopterygii","Perciformes","Gempylidae","Thyrsitoides marleyi","l_max",200,113.755727503525,NA,NA,56.8778637517625,3.30944055944056,40.673597904993,3.30944055944056,56.8778637517625
"Actinopterygii","Perciformes","Gobiidae","Rhinogobiops nicholsii","l_max",15,5.67208832000058,3.1511601777781,21.0077345185207,37.8139221333372,21.0077345185207,37.8139221333372,21.0077345185207,37.8139221333372
"Actinopterygii","Perciformes","Istiophoridae","Makaira mazara","l_max",500,130,1.16,0.232,26,0.232,26,0.232,26
"Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","l_max",48,19.05,1.82,3.79166666666667,39.6875,3.79166666666667,39.6875,3.79166666666667,39.6875
"Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","l_max",38,NA,NA,NA,NA,4.87857020853057,36.7942330347152,4.87857020853057,36.7942330347152
"Actinopterygii","Perciformes","Mugilidae","Mugil cephalus","l_max",123.683950568386,43.7841185012086,2.47367901136772,2,35.4,2,35.4,2,35.4
"Actinopterygii","Perciformes","Mullidae","Mullus barbatus barbatus","l_max",41.0314222292818,14.089102813669,4.94354484690142,12.0481927710843,34.3373493975902,12.0481927710843,34.3373493975902,12.0481927710843,34.3373493975902
"Actinopterygii","Perciformes","Nomeidae","Cubiceps capensis","l_max",101,NA,NA,NA,NA,7.06602519861735,30.6191588785047,7.06602519861735,30.6191588785047
"Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","l_max",107,49.475,14.6,13.6448598130841,46.2383177570093,7.06602519861735,30.6191588785047,13.6448598130841,46.2383177570093
"Actinopterygii","Perciformes","Nomeidae","Cubiceps pauciradiatus","l_max",20,NA,1.04092712108598,5.2046356054299,NA,7.06602519861735,30.6191588785047,5.2046356054299,30.6191588785047
"Actinopterygii","Perciformes","Nomeidae","Psenes pellucidus","l_max",80,12,1.87886414187044,2.34858017733805,15,7.06602519861735,30.6191588785047,2.34858017733805,15
"Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","l_max",32.5375876759008,18.2210490985044,1.9,5.83940032348264,55.9999999999998,5.83940032348264,55.9999999999998,5.83940032348264,55.9999999999998
"Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","l_max",NA,NA,NA,NA,NA,4.87857020853057,36.7942330347152,4.87857020853057,36.7942330347152
"Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","l_max",110,40,2.7,2.45454545454545,36.3636363636364,4.39220154755559,41.6594065656566,2.45454545454545,36.3636363636364
"Actinopterygii","Perciformes","Scombridae","Scomber japonicus","l_max",64,26.1,1.76989569615877,2.76546202524808,40.78125,4.39220154755559,41.6594065656566,2.76546202524808,40.78125
"Actinopterygii","Perciformes","Scombridae","Scomber scombrus","l_max",60,28.7,4.77395829772394,7.95659716287323,47.8333333333333,4.39220154755559,41.6594065656566,7.95659716287323,47.8333333333333
"Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","l_max",30,NA,1.74896119096943,5.82987063656477,NA,5.82987063656477,36.7942330347152,5.82987063656477,36.7942330347152
"Actinopterygii","Perciformes","Sparidae","Boops boops","l_max",40,14.3,1.48051806984256,3.7012951746064,35.75,2.96175869841431,38.4166666666667,3.7012951746064,35.75
"Actinopterygii","Perciformes","Sparidae","Diplodus sargus","l_max",45,21,1,2.22222222222222,46.6666666666667,2.96175869841431,38.4166666666667,2.22222222222222,46.6666666666667
"Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","l_max",76.6198309197293,25.1568444853111,NA,NA,32.8333333333333,2.96175869841431,38.4166666666667,2.96175869841431,32.8333333333333
"Actinopterygii","Perciformes","Stromateidae","Peprilus simillimus","l_max",37.6686155191577,NA,2.69061539422555,7.14285714285714,NA,7.14285714285714,36.7942330347152,7.14285714285714,36.7942330347152
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","l_max",50,NA,2.12311420376766,4.24622840753532,NA,3.89030080253328,36.7942330347152,4.24622840753532,36.7942330347152
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","l_max",70,NA,2.47406123827187,3.53437319753124,NA,3.89030080253328,36.7942330347152,3.53437319753124,36.7942330347152
"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","l_max",25,6,3.79592826287603,15.1837130515041,24,15.1837130515041,24,15.1837130515041,24
