prey_sp,prey_age_reported_1,maxTL,meanGAPE,l_adult,meanLENGTH,meanFRAC,larva_adult_use,juve_adult_use,life_stage,maxFO,maxN,maxM
Engraulis capensis,none,0,9.61765,15.36170882,9.61765,62.60794364,12.26609254,61.84207833,adult,10,3.8,4.4
Engraulis encrasicolus,juvenile,0,7.108871667,23.55354352,7.108871667,30.18175019,7.5,48.5,juvenile,29.2,0,20
Engraulis encrasicolus,none,13,7.75767,23.55354352,13,55.19339367,7.5,48.5,adult,9,1.5,4.6
Engraulis encrasicolus,none,0,7.75767,23.55354352,7.75767,32.93631802,7.5,48.5,juvenile,25.92592593,0,0
Engraulis japonicus,juvenile,0,6.7721275,18,6.7721275,37.62293056,13.16924535,44.19444444,juvenile,85.4,52.8,95.2
Engraulis mordax,juvenile,5.520971785,7.498425,29.13193622,4.729715297,16.23549928,16.12903226,38.70967742,juvenile,69.7,40.4,23
Engraulis mordax,none,0,7.471971429,29.13193622,7.471971429,25.64872918,16.12903226,38.70967742,juvenile,15.4,1.2,0.974789506
Entelurus aequoreus,none,0,7.079152222,60,7.079152222,11.79858704,9.154087587,42.11735847,juvenile,41,0,35
Eucleoteuthis luminosa,none,0,9.071726667,36.75879199,9.071726667,24.67906636,5.462555066,41.85022026,juvenile,4.9,1.3,1.9
Euphausia pacifica,adult,0,7.38732,2.5,2.5,100,13.22770383,48.82110778,adult,38.9,43.1,0
Eusergestes arcticus,adult,0,7.75767,1.4,1.4,100,13.22770383,10.74074074,adult,52,0,0
Eusergestes arcticus,juvenile,0,7.75767,1.4,1.4,100,13.22770383,10.74074074,juvenile,3.703703704,0,0
Eusergestes similis,adult,0,7.38732,5.4,5.4,100,13.22770383,10.74074074,adult,45,76.5,0
Eusergestes similis,none,3.6,7.97988,5.4,3.6,100,13.22770383,10.74074074,adult,0,0,0
Eutrigla gurnardus,none,0,7.75767,60,7.75767,12.92945,6.084383814,31.33333333,juvenile,4,0,0
Funchalia taaningi,none,0,9.61765,2.3,2.3,100,13.22770383,28.06379659,adult,1.6,0.2,0.3
Funchalia woodwardi,none,0,9.61765,16,9.61765,60.1103125,13.22770383,28.06379659,adult,0.7,0.1,0.1
Gaidropsarus vulgaris,none,0,7.75767,65,7.75767,11.93487692,3.076923077,41.53846154,juvenile,8,0,0
Galiteuthis armata,none,0,7.75767,75.57219456,7.75767,10.26524378,2.131147541,57.37704918,juvenile,54.28571429,0,0
Galiteuthis phyllura,none,0,7.38732,365.4754479,7.38732,2.021290361,3.703703704,65.88592896,larva,0,0,0
Gempylus serpens,none,0,8.8358,110.4911731,8.8358,7.996837893,3.309440559,46.5,juvenile,5.2,0.3,0.5
Gennadas elegans,juvenile,0,7.75767,4.5,4.5,100,13.22770383,28.06379659,juvenile,4,0,0
Glyptocephalus zachirus,none,0,7.38732,60,7.38732,12.3122,11.16666667,33.33333333,juvenile,0,0,0
Gonatopsis borealis,juvenile,0,7.5027869,58.41004457,7.5027869,12.84502855,3.03030303,66.66666667,juvenile,12.5,1.7,0.3
Gonatopsis borealis,none,0,6.64534435,58.41004457,6.64534435,11.37705749,3.03030303,66.66666667,juvenile,28.8,8.9,10.8
Gonatus berryi,none,0,7.0256938,39.83250711,7.0256938,17.63809087,4.166666667,66.66666667,juvenile,1.5,0.1,0.1
Gonatus californiensis,juvenile,0.12,7.97988,52.81123114,0.12,0.227224394,4.767058516,66.66666667,juvenile,0,0,0
Gonatus onyx,juvenile,0.15,7.97988,28.04410935,0.15,0.534871684,6.137931034,66.66666667,juvenile,1,0,0
Gonatus pyros,juvenile,0,7.97988,NA,NA,NA,4.767058516,66.66666667,juvenile,0,0,0.1
Gonatus steenstrupi,none,17.88016476,7.75767,24.83356217,17.88016476,72,4.767058516,66.66666667,adult,20,2,0
Gonatus steenstrupi,none,0,7.24741,24.83356217,7.24741,29.18393241,4.767058516,66.66666667,juvenile,23.5,3.5,0.3
Grimalditeuthis bonplandi,none,0,9.61765,56.08189124,9.61765,17.14929684,4,46.66579052,juvenile,0.5,0,0
Halichoeres nicholsi,none,0,7.38732,38,7.38732,19.44031579,4.878570209,36.79423303,juvenile,0,0,0
Haliphron atlanticus,none,0,9.15677,190.4307049,9.15677,4.808452505,9.024609955,31.71963645,larva,5,0,0
Helicocranchia pfefferi,none,0,7.75767,NA,NA,NA,13.10454614,65.88592896,adult,7.407407407,0,0
Helicolenus dactylopterus,none,0,7.75767,50,7.75767,15.51534,8,64,juvenile,16,0,0
Heterocarpus laevigatus,none,0,9.61765,18,9.61765,53.43138889,13.22770383,28.06379659,adult,3.2,0.3,0.1
Heteroteuthis dispar,adult,4.345700122,7.802203444,4.21094973,4.014813049,100,7.99055641,42,adult,66,88.2,3.68
Heteroteuthis dispar,none,0,7.83997,4.21094973,4.21094973,100,7.99055641,42,adult,49.1,56.4,0
Histioteuthis bonnellii,juvenile,0,6.3762645,113.5835925,6.3762645,5.61371969,6.842105263,21.21212121,juvenile,63.2,38.4,0
Histioteuthis bonnellii,none,0,7.75767,113.5835925,7.75767,6.829921317,6.842105263,21.21212121,larva,8,0,0
Histioteuthis heteropsis,none,0,7.38732,39.93428571,7.38732,18.49869071,6.842105263,41.66666667,juvenile,1.5,0.1,0
Histioteuthis meleagroteuthis,none,0,9.61765,38.54192516,9.61765,24.95373534,6.842105263,57.01754386,juvenile,0.5,0,0
Histioteuthis reversa,none,0,8.021500286,53.9912621,8.021500286,14.85703422,6.842105263,26.31578947,juvenile,28,2.05,0.86
Hyaloteuthis pelagica,none,0,9.175699,13.88290599,9.175699,66.09350384,7.222222222,51.11111111,adult,2.9,0,0.5
Hygophum hygomii,none,0,9.61765,8.30730748,8.30730748,100,14.55882353,69.81804891,adult,0.7,0,0
Hyperia galba,adult,0,7.75767,1.2,1.2,100,13.22770383,35.93848364,adult,0.1,0,0
Hyperia galba,none,0,7.75767,1.2,1.2,100,13.22770383,35.93848364,adult,5.714285714,0,0
Icichthys lockingtoni,none,0,7.505832,46,7.505832,16.31702609,4.239130435,30.26666667,juvenile,1,0,0
Idotea metallica,none,0,7.75767,NA,NA,NA,13.22770383,35.93848364,adult,3.703703704,0,0
Illex argentinus,adult,0,9.15677,57.84521033,9.15677,15.8297808,1.757575758,43.03030303,adult,12,0,0
Illex coindetii,none,0,7.8653184,57.00398428,7.8653184,13.79783975,6.25,64.6875,juvenile,10.3,2.13,3.3
Janicella spinicauda,none,0,9.61765,1.04,1.04,100,13.22770383,28.06379659,adult,2.2,0.5,0.1
Janthina exigua,none,0,7.75767,1.53,1.53,100,NA,NA,adult,5.714285714,0,0
Japetella diaphana,none,0,8.501662,16,8.501662,53.1353875,9.024609955,34.375,adult,4.8,1,2.1
Japetella heathi,none,0,8.4296495,12.63685001,8.4296495,66.70688892,9.024609955,34.375,adult,7,0,0.6
Katsuwonus pelamis,none,0,7.2721,110,7.2721,6.611,2.454545455,36.36363636,juvenile,0.6,#DIV/0!,0
Lactoria diaphana,none,0,7.2721,34,7.2721,21.38852941,2,30,juvenile,0.3,#DIV/0!,0
Lagocephalus lagocephalus,none,0,9.61765,61,9.61765,15.76663934,1.586213042,26.65649616,juvenile,1.6,0,0
Lampadena luminosa,none,0,9.61765,23.64600811,9.61765,40.67346148,2.74887836,63.43565446,juvenile,0.5,0.3,0.5
Lampanyctodes hectoris,none,0,9.61765,8.678306318,8.678306318,100,20.57142857,55.03212622,adult,23.4,11.7,10.8
Lampanyctus alatus,adult,0,7.75767,7.639987025,7.639987025,100,23.7704918,59.01639344,adult,5.555555556,0,0
Lampanyctus crocodilus,adult,0,7.75767,36.56232216,7.75767,21.21766218,6.564134492,33.33333333,adult,48.57142857,0,0
Lampanyctus intricarius,adult,0,7.75767,23.57579659,7.75767,32.90522961,10.2,85,adult,37.03703704,0,0
Lampanyctus mexicanus,larva,0,7.38732,NA,NA,NA,17.33971076,55.03212622,larva,0.996677741,0,0
Lanceola sayana,adult,0,7.75767,4.2,4.2,100,13.22770383,35.93848364,adult,1.851851852,0,0
Lepidocybium flavobrunneum,none,0,9.61765,237.3340052,9.61765,4.052369146,3.309440559,12.64041365,juvenile,1.6,0,0
Leptocotis tenuirostris,none,0,7.0256938,0.9,0.9,100,13.22770383,35.93848364,adult,2.1,0.1,0.1
Lestidiops ringens,none,0,7.97988,21,7.97988,37.99942857,19.0501737,36.07413932,adult,4,0,0
Lestidiops ringens,none,0,7.38732,21,7.38732,35.17771429,19.0501737,36.07413932,juvenile,0,0,0
Lestidiops similis,none,0,9.61765,20,9.61765,48.08825,10.93220695,36.07413932,adult,1.6,0.2,0.1
Lestidiops sphyrenoides,none,0,7.75767,29.03334417,7.75767,26.71986374,18.66666667,64.07407407,juvenile,31.48148148,0,0
Lestrolepis intermedia,none,0,9.61765,36.07611185,9.61765,26.6593308,11.08766936,36.07413932,juvenile,16.3,4.4,4.9
Leuroglossus stilbius,none,0,7.38732,15,7.38732,49.2488,20.76120235,42.11735847,adult,0.4,0.1,0
Liocranchia reinhardtii,none,0,7.75767,30.17872661,7.75767,25.70575657,13.10454614,74,juvenile,1.851851852,0,0
Lobianchia gemellarii,adult,0,7.75767,11.63275085,7.75767,66.68818149,17.33971076,45.50050556,adult,4,0,0
Lobianchia gemellarii,none,0,9.61765,11.63275085,9.61765,82.67734883,17.33971076,45.50050556,adult,2.8,0.1,0
