"","StudyID","rep_ID","YearEnd","OceanBasin","prob.clust.num","clustFO","totalFO","relFO"
"93","Glaser2015","Glaser2015_20",2006,"N Pacific","5",104,170,0.611764705882353
"94","Glaser2015","Glaser2015_20",2006,"N Pacific","7",2,170,0.0117647058823529
"95","Goni2011","Goni2011_21",2005,"Mediterranean","1",112.5,141.7,0.7939308398024
"96","Goni2011","Goni2011_21",2005,"Mediterranean","3",0,141.7,0
"97","Goni2011","Goni2011_21",2005,"Mediterranean","5",29.2,141.7,0.206069160197601
"98","Goni2011","Goni2011_22",2006,"Mediterranean","1",116.5,129,0.903100775193798
"99","Goni2011","Goni2011_22",2006,"Mediterranean","3",12.5,129,0.0968992248062016
"100","Goni2011","Goni2011_22",2006,"Mediterranean","5",0,129,0
"101","Goni2011","Goni2011_23",2008,"Mediterranean","1",44.7,51.6,0.866279069767442
"102","Goni2011","Goni2011_23",2008,"Mediterranean","3",6.9,51.6,0.133720930232558
"103","Goni2011","Goni2011_23",2008,"Mediterranean","5",0,51.6,0
"104","Goni2011","Goni2011_24",2005,"N Atlantic","1",54.3,165.1,0.328891580860085
"105","Goni2011","Goni2011_24",2005,"N Atlantic","2",0,165.1,0
"106","Goni2011","Goni2011_24",2005,"N Atlantic","4",56.5,165.1,0.34221683827983
"107","Goni2011","Goni2011_24",2005,"N Atlantic","5",54.3,165.1,0.328891580860085
"108","Goni2011","Goni2011_25",2004,"N Atlantic","1",73.7,131.6,0.560030395136778
"109","Goni2011","Goni2011_25",2004,"N Atlantic","2",15.8,131.6,0.120060790273556
"110","Goni2011","Goni2011_25",2004,"N Atlantic","4",26.3,131.6,0.199848024316109
"111","Goni2011","Goni2011_25",2004,"N Atlantic","5",15.8,131.6,0.120060790273556
"112","Goni2011","Goni2011_26",2005,"N Atlantic","1",14.3,114.2,0.125218914185639
"113","Goni2011","Goni2011_26",2005,"N Atlantic","2",0,114.2,0
"114","Goni2011","Goni2011_26",2005,"N Atlantic","4",42.8,114.2,0.374781085814361
"115","Goni2011","Goni2011_26",2005,"N Atlantic","5",57.1,114.2,0.5
"116","Goni2011","Goni2011_27",2006,"N Atlantic","1",15.4,110.3,0.13961922030825
"117","Goni2011","Goni2011_27",2006,"N Atlantic","2",0,110.3,0
"118","Goni2011","Goni2011_27",2006,"N Atlantic","4",64.1,110.3,0.581142339075249
"119","Goni2011","Goni2011_27",2006,"N Atlantic","5",30.8,110.3,0.2792384406165
"120","Goni2011","Goni2011_28",2005,"N Atlantic","1",65.5,117,0.55982905982906
"121","Goni2011","Goni2011_28",2005,"N Atlantic","2",17.2,117,0.147008547008547
"122","Goni2011","Goni2011_28",2005,"N Atlantic","4",6.8,117,0.0581196581196581
"123","Goni2011","Goni2011_28",2005,"N Atlantic","5",27.5,117,0.235042735042735
"124","Goni2011","Goni2011_29",2006,"N Atlantic","1",96.6,130.9,0.737967914438503
"125","Goni2011","Goni2011_29",2006,"N Atlantic","2",10.2,130.9,0.0779220779220779
"126","Goni2011","Goni2011_29",2006,"N Atlantic","4",0,130.9,0
"127","Goni2011","Goni2011_29",2006,"N Atlantic","5",24.1,130.9,0.184110007639419
"128","Goni2011","Goni2011_30",2006,"N Atlantic","1",70.6,123.5,0.57165991902834
"129","Goni2011","Goni2011_30",2006,"N Atlantic","2",0,123.5,0
"130","Goni2011","Goni2011_30",2006,"N Atlantic","4",17.6,123.5,0.14251012145749
"131","Goni2011","Goni2011_30",2006,"N Atlantic","5",35.3,123.5,0.28582995951417
"132","Goni2011","Goni2011_31",2005,"N Atlantic","1",37.3,100.6,0.370775347912525
"133","Goni2011","Goni2011_31",2005,"N Atlantic","2",0.5,100.6,0.00497017892644135
"134","Goni2011","Goni2011_31",2005,"N Atlantic","4",1.1,100.6,0.010934393638171
"135","Goni2011","Goni2011_31",2005,"N Atlantic","5",61.7,100.6,0.613320079522863
"136","Goni2011","Goni2011_32",2006,"N Atlantic","1",27.6,124.1,0.222401289282836
"137","Goni2011","Goni2011_32",2006,"N Atlantic","2",0,124.1,0
"138","Goni2011","Goni2011_32",2006,"N Atlantic","4",1.7,124.1,0.0136986301369863
"139","Goni2011","Goni2011_32",2006,"N Atlantic","5",94.8,124.1,0.763900080580177
"140","Goni2011","Goni2011_33",2007,"N Atlantic","1",56.3,150.2,0.374833555259654
"141","Goni2011","Goni2011_33",2007,"N Atlantic","2",0,150.2,0
"142","Goni2011","Goni2011_33",2007,"N Atlantic","4",12.6,150.2,0.0838881491344874
"143","Goni2011","Goni2011_33",2007,"N Atlantic","5",81.3,150.2,0.541278295605859
"144","Hart1948","Hart1948_34",1941,"N Pacific","1",0.4672897196,2.8037383176,0.166666666666667
"145","Hart1948","Hart1948_34",1941,"N Pacific","4",1.4018691588,2.8037383176,0.5
"146","Hart1948","Hart1948_34",1941,"N Pacific","5",0.4672897196,2.8037383176,0.166666666666667
"147","Hart1948","Hart1948_34",1941,"N Pacific","7",0.4672897196,2.8037383176,0.166666666666667
"148","Hart1948","Hart1948_35",1941,"N Pacific","1",0.5102040816,3.0612244896,0.166666666666667
"149","Hart1948","Hart1948_35",1941,"N Pacific","4",1.5306122448,3.0612244896,0.5
"150","Hart1948","Hart1948_35",1941,"N Pacific","5",0.5102040816,3.0612244896,0.166666666666667
"151","Hart1948","Hart1948_35",1941,"N Pacific","7",0.5102040816,3.0612244896,0.166666666666667
"152","Hart1948","Hart1948_36",1945,"N Pacific","1",2.222222222,13.333333332,0.166666666666667
"153","Hart1948","Hart1948_36",1945,"N Pacific","4",6.666666666,13.333333332,0.5
"154","Hart1948","Hart1948_36",1945,"N Pacific","5",2.222222222,13.333333332,0.166666666666667
"155","Hart1948","Hart1948_36",1945,"N Pacific","7",2.222222222,13.333333332,0.166666666666667
"156","Hart1948","Hart1948_37",1946,"N Pacific","1",33.33333333,199.99999998,0.166666666666667
"157","Hart1948","Hart1948_37",1946,"N Pacific","4",99.99999999,199.99999998,0.5
"158","Hart1948","Hart1948_37",1946,"N Pacific","5",33.33333333,199.99999998,0.166666666666667
"159","Hart1948","Hart1948_37",1946,"N Pacific","7",33.33333333,199.99999998,0.166666666666667
"160","Hart1948","Hart1948_38",1946,"N Pacific","1",0.4504504505,2.702702703,0.166666666666667
"161","Hart1948","Hart1948_38",1946,"N Pacific","4",1.3513513515,2.702702703,0.5
"162","Hart1948","Hart1948_38",1946,"N Pacific","5",0.4504504505,2.702702703,0.166666666666667
"163","Hart1948","Hart1948_38",1946,"N Pacific","7",0.4504504505,2.702702703,0.166666666666667
"164","Hart1948","Hart1948_39",1947,"N Pacific","1",25,150,0.166666666666667
"165","Hart1948","Hart1948_39",1947,"N Pacific","4",75,150,0.5
"166","Hart1948","Hart1948_39",1947,"N Pacific","5",25,150,0.166666666666667
"167","Hart1948","Hart1948_39",1947,"N Pacific","7",25,150,0.166666666666667
"168","Hart1948","Hart1948_40",1947,"N Pacific","1",1.19047619,7.14285714,0.166666666666667
"169","Hart1948","Hart1948_40",1947,"N Pacific","4",3.57142857,7.14285714,0.5
"170","Hart1948","Hart1948_40",1947,"N Pacific","5",1.19047619,7.14285714,0.166666666666667
"171","Hart1948","Hart1948_40",1947,"N Pacific","7",1.19047619,7.14285714,0.166666666666667
"172","Iversen1962","Iversen1962_41",1957,"N Pacific","1",2.6,20.8,0.125
"173","Iversen1962","Iversen1962_41",1957,"N Pacific","2",5.5,20.8,0.264423076923077
"174","Iversen1962","Iversen1962_41",1957,"N Pacific","4",12.1,20.8,0.581730769230769
"175","Iversen1962","Iversen1962_41",1957,"N Pacific","5",0.6,20.8,0.0288461538461538
"176","Jordan1880","Jordan1880_42",1880,"N Pacific","1",100,200,0.5
"177","Jordan1880","Jordan1880_42",1880,"N Pacific","2",100,200,0.5
"178","Joubin1918","Joubin1918_43",1918,"N Atlantic","1",0,0,NA
"179","Joubin1918","Joubin1918_43",1918,"N Atlantic","2",0,0,NA
"180","Joubin1918","Joubin1918_43",1918,"N Atlantic","4",0,0,NA
"181","Joubin1918","Joubin1918_43",1918,"N Atlantic","5",0,0,NA
"182","Madigan2015","Madigan2015_44",2010,"N Pacific","1",6.97674418604652,143.023255813953,0.0487804878048781
"183","Madigan2015","Madigan2015_44",2010,"N Pacific","2",16.2790697674419,143.023255813953,0.113821138211382
"184","Madigan2015","Madigan2015_44",2010,"N Pacific","4",29.0697674418605,143.023255813953,0.203252032520325
"185","Madigan2015","Madigan2015_44",2010,"N Pacific","5",90.6976744186046,143.023255813953,0.634146341463415
"186","Matthews1977","Matthews1977_45",1964,"N Atlantic","1",71,100,0.71
"187","Matthews1977","Matthews1977_45",1964,"N Atlantic","2",3,100,0.03
"188","Matthews1977","Matthews1977_45",1964,"N Atlantic","3",11,100,0.11
"189","Matthews1977","Matthews1977_45",1964,"N Atlantic","4",3,100,0.03
"190","Matthews1977","Matthews1977_45",1964,"N Atlantic","5",3,100,0.03
"191","Matthews1977","Matthews1977_45",1964,"N Atlantic","6",3,100,0.03
"192","Matthews1977","Matthews1977_45",1964,"N Atlantic","7",6,100,0.06
"193","McHugh1952","McHugh1952_46",1949,"N Pacific","1",43.8966777408638,145.416777408638,0.301868041109927
"194","McHugh1952","McHugh1952_46",1949,"N Pacific","2",26.7445182724252,145.416777408638,0.183916317972513
"195","McHugh1952","McHugh1952_46",1949,"N Pacific","4",55.3466777408638,145.416777408638,0.380607236160469
"196","McHugh1952","McHugh1952_46",1949,"N Pacific","5",19.428903654485,145.416777408638,0.133608404757091
"197","Monaco1888","Monaco1888_47",1888,"Mediterranean","1",0,0,NA
"198","OrtizZarate1987","OrtizZarate1987_48",1968,"N Atlantic","1",13,103,0.12621359223301
"199","OrtizZarate1987","OrtizZarate1987_48",1968,"N Atlantic","4",26,103,0.252427184466019
"200","OrtizZarate1987","OrtizZarate1987_48",1968,"N Atlantic","5",64,103,0.621359223300971
"201","Pinkas1971","Pinkas1971_50",1968,"N Pacific","1",7.3,190.8,0.0382599580712788
"202","Pinkas1971","Pinkas1971_50",1968,"N Pacific","2",52.4,190.8,0.274633123689727
"203","Pinkas1971","Pinkas1971_50",1968,"N Pacific","4",30.5,190.8,0.159853249475891
"204","Pinkas1971","Pinkas1971_50",1968,"N Pacific","5",98.6,190.8,0.516771488469602
"205","Pinkas1971","Pinkas1971_50",1968,"N Pacific","6",2,190.8,0.010482180293501
"206","Pinkas1971","Pinkas1971_51",1968,"N Pacific","1",33.9,152.3,0.222586999343401
"207","Pinkas1971","Pinkas1971_51",1968,"N Pacific","2",15.4,152.3,0.101116217990808
"208","Pinkas1971","Pinkas1971_51",1968,"N Pacific","4",60.7,152.3,0.398555482600131
"209","Pinkas1971","Pinkas1971_51",1968,"N Pacific","5",42.3,152.3,0.27774130006566
"210","Pinkas1971","Pinkas1971_52",1969,"N Pacific","1",20.3,275.2,0.0737645348837209
"211","Pinkas1971","Pinkas1971_52",1969,"N Pacific","2",61.8,275.2,0.224563953488372
"212","Pinkas1971","Pinkas1971_52",1969,"N Pacific","3",0.5,275.2,0.00181686046511628
"213","Pinkas1971","Pinkas1971_52",1969,"N Pacific","4",57.4,275.2,0.208575581395349
"214","Pinkas1971","Pinkas1971_52",1969,"N Pacific","5",124.6,275.2,0.452761627906977
"215","Pinkas1971","Pinkas1971_52",1969,"N Pacific","6",10.1,275.2,0.0367005813953488
"216","Pinkas1971","Pinkas1971_52",1969,"N Pacific","7",0.5,275.2,0.00181686046511628
"217","Pinkas1971","Pinkas1971_53",1969,"N Pacific","2",69.3,138.6,0.5
"218","Pinkas1971","Pinkas1971_53",1969,"N Pacific","4",23.1,138.6,0.166666666666667
"219","Pinkas1971","Pinkas1971_53",1969,"N Pacific","5",46.2,138.6,0.333333333333333
"220","Pinkas1971",NA,1968,"N Pacific","1",17.5,283.6,0.061706629055007
"221","Pinkas1971",NA,1968,"N Pacific","2",99.1,283.6,0.349435825105783
"222","Pinkas1971",NA,1968,"N Pacific","4",35.7,283.6,0.125881523272214
"223","Pinkas1971",NA,1968,"N Pacific","5",124.4,283.6,0.438645980253879
"224","Pinkas1971",NA,1968,"N Pacific","6",6.9,283.6,0.0243300423131171
"225","Pusineri2005","Pusineri2005_54",1993,"N Atlantic","1",62,210,0.295238095238095
"226","Pusineri2005","Pusineri2005_54",1993,"N Atlantic","2",74,210,0.352380952380952
"227","Pusineri2005","Pusineri2005_54",1993,"N Atlantic","4",52,210,0.247619047619048
"228","Pusineri2005","Pusineri2005_54",1993,"N Atlantic","5",22,210,0.104761904761905
"229","Romanov2020","Romanov2020_55",2014,"Indian","1",6.8,209.4,0.0324737344794651
"230","Romanov2020","Romanov2020_55",2014,"Indian","2",80.5,209.4,0.384431709646609
"231","Romanov2020","Romanov2020_55",2014,"Indian","3",40.2,209.4,0.191977077363897
"232","Romanov2020","Romanov2020_55",2014,"Indian","4",9.7,209.4,0.0463228271251194
"233","Romanov2020","Romanov2020_55",2014,"Indian","5",26.5,209.4,0.126552053486151
"234","Romanov2020","Romanov2020_55",2014,"Indian","6",44.6,209.4,0.212989493791786
"235","Romanov2020","Romanov2020_55",2014,"Indian","7",1.1,209.4,0.0052531041069723
"236","Romanov2020","Romanov2020_56",2014,"Indian","1",19.1,160.5,0.119003115264798
"237","Romanov2020","Romanov2020_56",2014,"Indian","2",50.8,160.5,0.316510903426791
"238","Romanov2020","Romanov2020_56",2014,"Indian","3",42.9,160.5,0.267289719626168
"239","Romanov2020","Romanov2020_56",2014,"Indian","4",11.2,160.5,0.0697819314641745
"240","Romanov2020","Romanov2020_56",2014,"Indian","5",11.2,160.5,0.0697819314641745
"241","Romanov2020","Romanov2020_56",2014,"Indian","6",25.3,160.5,0.157632398753894
"242","Romanov2020","Romanov2020_57",2014,"S Atlantic","1",86.1,218.4,0.394230769230769
"243","Romanov2020","Romanov2020_57",2014,"S Atlantic","2",83,218.4,0.38003663003663
"244","Romanov2020","Romanov2020_57",2014,"S Atlantic","3",20.7,218.4,0.0947802197802198
