"prey_sp","b_shape_r","eye_body_r","standard_total"
"Funchalia taaningi",8.48547145125077,0.0340698839177075,0.805986004520335
"Funchalia woodwardi",7.38437798243504,0.0345781124640352,0.834755460910623
"Gaidropsarus vulgaris",6.4651481241763,0.024239527685904,0.855757068784669
"Galiteuthis armata",6.80268889366612,0.0601883954990335,0.807175183351013
"Galiteuthis phyllura",6.28905342475231,0.0642329269337908,0.73876371594939
"Gempylus serpens",16.0970077138305,0.0279241668153583,0.905049672081243
"Gennadas elegans",7.52257060327305,0.0328718905848096,0.79198758295141
"Glyptocephalus zachirus",3.2163878553716,0.0509482465071595,0.816510145473304
"Gonatopsis borealis",5.7325569691604,0.0384063357679049,0.564971320264562
"Gonatus berryi",8.83928866832423,0.0481612926333679,0.602522957811243
"Gonatus californiensis",7.64098372224313,0.0310420569307045,0.596464034651598
"Gonatus onyx",5.92717667262218,0.0455761960841425,0.51704262815379
"Gonatus steenstrupi",3.95210978472899,0.105027091930819,0.604021279577028
"Grimalditeuthis bonplandi",10.94204763275,0.0120075977105752,0.445776692752323
"Halichoeres nicholsi",3.41979947279233,0.0277324102424729,0.796787526077235
"Haliphron atlanticus",3.27946932088237,0.0528972083864895,0.210050159824181
"Helicocranchia pfefferi",2.66212681311964,0.0722238586462707,0.741321872409547
"Helicolenus dactylopterus",3.54761376551636,0.0866750693526003,0.796634072240436
"Heterocarpus laevigatus",6.2282297466484,0.0193173420909112,0.83902257126344
"Heteroteuthis dispar",2.43487574284062,0.144468771718196,0.593690297946619
"Histioteuthis bonnellii",4.80014632437565,0.067840870541936,0.290534920223717
"Histioteuthis heteropsis",6.0745063541683,0.06554227211486,0.330543034986048
"Histioteuthis meleagroteuthis",6.26480661479157,0.0435681657543741,0.29578180004895
"Histioteuthis reversa",5.7606380187446,0.0609496353283414,0.35190879524607
"Hyaloteuthis pelagica",6.38336970913376,0.0613610620980357,0.648279258632226
"Hygophum hygomii",4.81653707068362,0.106097798699724,0.818556435538191
"Hyperia galba",4.69329916751324,0.0968753927922142,0.753191106079826
