"prey_sp","prey_age_reported_1","maxl_type","maxFO","maxN","maxM","maxL"
"Heteroteuthis dispar","none","NO",49.1,56.4,0,0
"Histioteuthis bonnellii","juvenile","NO",63.2,38.4,0,0
"Histioteuthis bonnellii","none","NO",8,0,0,0
"Histioteuthis heteropsis","none","NO",1.5,0.1,0,0
"Histioteuthis meleagroteuthis","none","NO",0.5,0,0,0
"Histioteuthis reversa","none","NO",28,2.05,0.86,0
"Hyaloteuthis pelagica","none","NO",2.9,0,0.5,0
"Hygophum hygomii","none","NO",0.7,0,0,0
"Hyperia galba","adult","NO",0.1,0,0,0
"Hyperia galba","none","NO",5.71428571428571,0,0,0
"Icichthys lockingtoni","none","NO",1,0,0,0
"Idotea metallica","none","NO",3.7037037037037,0,0,0
"Illex argentinus","juvenile","NO",12,0,0,0
"Illex coindetii","none","NO",10.3,2.13,3.3,0
"Janicella spinicauda","none","NO",2.2,0.5,0.1,0
"Janthina exigua","none","NO",5.71428571428571,0,0,0
"Japetella diaphana","none","NO",4.8,1,2.1,0
"Japetella heathi","none","NO",7,0,0.6,0
"Katsuwonus pelamis","none","NO",0.6,0.1433805958,0,0
"Lactoria diaphana","none","NO",0.3,0.01593117731,0,0
"Lagocephalus lagocephalus","none","NO",1.6,0,0,0
"Lampadena luminosa","none","NO",0.5,0.3,0.5,0
"Lampanyctodes hectoris","none","NO",23.4,11.7,10.8,0
"Lampanyctus alatus","adult","NO",5.55555555555556,0,0,0
"Lampanyctus crocodilus","adult","NO",48.5714285714286,0,0,0
"Lampanyctus intricarius","adult","NO",37.037037037037,0,0,0
"Lampanyctus mexicanus","larva","NO",0.996677740863787,0,0,0
"Lanceola sayana","adult","NO",1.85185185185185,0,0,0
"Lepidocybium flavobrunneum","none","NO",1.6,0,0,0
"Leptocotis tenuirostris","none","NO",2.1,0.1,0.1,0
"Lestidiops ringens","none","NO",4,0,0,0
"Lestidiops similis","none","NO",1.6,0.2,0.1,0
"Lestidiops sphyrenoides","none","NO",31.4814814814815,0,0,0
"Lestrolepis intermedia","none","NO",16.3,4.4,4.9,0
"Leuroglossus stilbius","none","NO",0.4,0.1,0,0
"Liocranchia reinhardtii","none","NO",1.85185185185185,0,0,0
"Lobianchia gemellarii","adult","NO",4,0,0,0
"Lobianchia gemellarii","none","NO",2.8,0.1,0,0
"Lycoteuthis lorigera","none","NO",32.8,17.3,25.8,0
"Lysiosquilla tredecimdentata","none","NO",7.9,0.9,0.7,0
"Macroparalepis affinis","none","SL",4,0,0,169
"Macroramphosus scolopax","none","NO",30,0,0.07,0
"Magnisudis atlantica","none","NO",8.2,2,2.4,0
"Makaira mazara","none","NO",0.5,0.5,0.5,0
"Mastigoteuthis dentata","none","NO",22.5,1.8,0.2,0
"Masturus lanceolatus","none","NO",0.5,0.1,0,0
"Maurolicus imperatorius","none","NO",4.2,0.2,0.1,0
"Maurolicus muelleri","none","NO",85.7142857142857,23.8,24.6,40
"Maurolicus muelleri","none","SL",46,78.5,0,62
"Medialuna californiensis","none","NO",1.16279069767442,0.0765110941086457,0.000609243441494352,0
"Meganyctiphanes norvegica","adult","NO",34.25,0,0,0
"Meganyctiphanes norvegica","none","NO",89.7,0.29,84.3,0
"Meganyctiphanes norvegica","none","TL",4,7.3,0,40
"Melamphaes lugubris","none","NO",5.9,1.1,0,0
"Melanostomias valdiviae","none","NO",0,0,0,0
"Merluccius productus","juvenile","PB",16,19,30,60.9
"Merluccius productus","larva","NO",15.15,0,1.3,0
"Merluccius productus","none","NO",100,0.1,0,0
"Microgadus proximus","none","NO",33.33333333,0.5,0,0
"Micromesistius poutassou","none","NO",72.4,4.5,68.5,160
"Microstomus pacificus","none","NO",0,0,0,0
"Monacoa grimaldii","none","NO",0.5,0,0,0
"Mugil cephalus","none","NO",0,0,0,0
"Mullus barbatus barbatus","none","NO",1.85185185185185,0,0,0
"Myctophum asperum","none","NO",2.2,0.9,0.6,0
"Myctophum punctatum","adult","NO",68.5185185185185,0,0,0
"Nannobrachium regale","larva","NO",0.996677740863787,0,0,0
"Nannobrachium ritteri","larva","NO",0.996677740863787,0,0,0
"Nannobrachium ritteri","none","NO",1.8,0.1,0,0
"Nansenia macrolepis","none","NO",13.6,5,4.2,0
"Natosquilla investigatoris","none","NO",2,1.8,1.5,0
"Nealotus tripes","none","NO",3,0,0.1,0
"Nematoscelis megalops","adult","NO",80,0,0,0
"Nematoscelis megalops","adult","TL",15.5,0,0,40
"Nematoscelis megalops","none","NO",4.3,0.61,4.2,0
"Neoanchisquilla tuberculata","none","NO",9.5,1.1,0.4,0
"Neognathophausia gigas","adult","NO",0.7,0.1,0,0
"Neognathophausia ingens","none","NO",11.1111111111111,0,0,0
"Nesiarchus nasutus","none","NO",3,0,0,0
"Notoscopelus kroyeri","adult","NO",4,0,0,0
"Notoscopelus kroyeri","none","NO",15.8,0,6.3,0
"Nyctiphanes australis","none","NO",27.9,0,20.4,0
"Octopoteuthis nielseni","juvenile","NO",0.332225913621262,0,0,0
"Octopoteuthis rugosa","none","NO",1,0.1,0.2,0
"Octopoteuthis sicula","none","NO",32.7,2.37,0.609243441494352,0
"Octopus bimaculatus","juvenile","NO",15.9,1.7,0,0
"Octopus bimaculatus","none","ML",11.6279069767442,1.8362662586075,0.182773032448306,0
"Octopus vulgaris","none","NO",16.6666666666667,0,0,0
"Ocythoe tuberculata","none","NO",17.2,0.7,0.6,0
"Odontodactylus hansenii","none","NO",0.3,0.04779353194,0,0
"Odontodactylus scyllarus","none","NO",27,5.1,2.4,0
"Ommastrephes bartramii","none","NO",5,1.6,6.2,0
"Omosudis lowii","none","NO",16.7,0.7,1.2,0
"Onychoteuthis banksii","juvenile","NO",0.332225913621262,0,0,0
"Onychoteuthis banksii","none","NO",83.3333333333333,12.32,5.5,0
"Onychoteuthis borealijaponica","none","NO",58.5,13.4,1.6,0
"Onychoteuthis borealijaponica","none","PB",19,1,3.3,8
"Onykia loennbergii","none","NO",0.5,0,0.3,0
"Onykia robusta","none","NO",6,0.5,0,0
"Onykia robusta","none","PB",3,0,0.3,1
"Opisthoteuthis californiana","none","NO",0.5,0.1,0,0
"Oplophorus typus","none","NO",3.2,0.5,0.3,0
"Ornithoteuthis antillarum","juvenile","NO",12,0,0,0
"Ornithoteuthis volatilis","none","NO",20.7,3.3,2.8,0
"Ostracion cubicus","none","NO",1.6,0.2,0,0
"Palinurus mauritanicus","juvenile","NO",8,0,0,0
"Palinurus mauritanicus","larva","NO",8,0,0,0
"Paralepis coregonoides","adult","NO",0.8620689655,20.38,26.89,0
"Paralepis coregonoides","none","NO",81.4814814814815,0,0,0
"Paralepis speciosa","adult","NO",0.8620689655,17.1,23.04,0
"Parapasiphae sulcatifrons","none","NO",4,0,0,0
"Parapronoe crustulum","none","NO",1.5,0.2,0.1,0
"Parribacus antarcticus","none","NO",0.5,0.1,0,0
"Peprilus simillimus","none","NO",0.5,0.1,0,0
"Peristedion gracile","none","NO",3,0,0,0
"Photonectes margarita","none","NO",0,0,0,0
"Phrosina semilunata","adult","NO",0.1,0,0,0
"Phrosina semilunata","none","NO",65,4.2,6.5,0
"Platyscelus armatus","none","NO",0,0,0,0
"Platyscelus ovoides","none","NO",9.25925925925926,1.1,1.3,0
"Platyscelus serratulus","none","NO",1.85185185185185,0.06,0.08,0
"Pleuroncodes planipes","adult","NO",27.75,1.3,23.3,0
"Pleuroncodes planipes","adult","PB",1,0,0,33.8
"Pleuroncodes planipes","none","NO",1.16279069767442,0.153022188217291,0.182773032448306,0
"Pleuronichthys decurrens","none","NO",33.33333333,0,0,0
"Pleuronichthys decurrens","none","PB",1,0,0,18
"Polybius henslowii","adult","NO",1.85185185185185,0,0,0
"Polybius henslowii","larva","NO",51.4285714285714,0,0,0
"Polybius henslowii","none","NO",1.1,0,1,0
"Primno macropa","none","NO",2.85714285714286,0.49,0.24,0
"Protomyctophum crockeri","none","NO",2.7,0.2,0,0
"Psenes pellucidus","none","NO",3,0,0,0
"Pteroctopus tetracirrhus","juvenile","NO",24,3.4,0,0
"Pterycombus petersii","none","NO",4.7,0.1,2.2,0
"Pterygioteuthis giardi","none","NO",1.63,0.16,0,0
"Pterygioteuthis microlampas","juvenile","NO",0.332225913621262,0,0,0
"Pyrosoma atlanticum","none","NO",2.85714285714286,0,0,0
"Pyroteuthis margaritifera","none","NO",1.63,0.16,0,0
"Ranzania laevis","none","NO",2.2,1.3,1.6,0
"Rexea prometheoides","none","NO",2.2,0.1,0.7,0
"Rhinogobiops nicholsii","none","NO",0,0,0,0
"Robustosergia robusta","none","NO",2.85714285714286,0,0,0
"Salpa maxima","none","NO",4.8,1.9,1.3,0
