"prey_class","prey_order","prey_family","prey_sp","species_life","life_stage","diet_likely","life_note","trait_notes","trait_confidence_cat","vert_habitat","horz_habitat","season_migrant","diel_migrant"
"Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","Chromis punctipinnis (juvenile)","juvenile","juvenile",NA,"species level info, but not a lot out there","medium","demersal","reef-associated","1.0","0.0"
"Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","Chromis punctipinnis (larva)","larva","juvenile",NA,"species level info, but not a lot out there","medium","epipelagic","coastal","1.0","0.0"
"Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","Cookeolus japonicus (adult)","adult","juvenile",NA,"decent - high level species info","high","demersal","reef-associated","1.0","0.0"
"Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","Cookeolus japonicus (juvenile)","juvenile","juvenile",NA,"almost nothing known","low","epipelagic","continental shelf","1.0","0.0"
"Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","Cookeolus japonicus (larva)","larva","juvenile",NA,"almost nothing known","low","epipelagic","continental shelf","1.0","0.0"
"Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","Scombrolabrax heterolepis (adult)","adult","juvenile","Most likely juvenile / young-of-year","decent - high level species info","high","mesopelagic","continental shelf","0.0","1.0"
"Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","Scombrolabrax heterolepis (juvenile)","juvenile","juvenile","Most likely juvenile / young-of-year","decent - high level species info","high","epipelagic","continental shelf","0.0","1.0"
"Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","Scombrolabrax heterolepis (larva)","larva","juvenile","Most likely juvenile / young-of-year","decent - high level species info","high","epipelagic","continental shelf","0.0","1.0"
"Actinopterygii","Perciformes","Sparidae","Boops boops","Boops boops (adult)","adult","juvenile",NA,"decent - species level info","high","demersal","continental shelf","1.0","1.0"
"Actinopterygii","Perciformes","Sparidae","Boops boops","Boops boops (juvenile)","juvenile","juvenile",NA,"species level info, but not a lot out there","medium","demersal","continental shelf","0.0","1.0"
"Actinopterygii","Perciformes","Sparidae","Boops boops","Boops boops (larva)","larva","juvenile",NA,"species level info, but not a lot out there","medium","epipelagic","continental shelf","1.0","0.0"
"Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","Spondyliosoma cantharus (adult)","adult","juvenile",NA,"species level info, but not a lot out there","medium","demersal","coastal","1.0","0.0"
"Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","Spondyliosoma cantharus (juvenile)","juvenile","juvenile",NA,"species level info, but not a lot out there","medium","epipelagic","coastal","1.0","0.0"
"Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","Spondyliosoma cantharus (larva)","larva","juvenile",NA,"species level info, but not a lot out there","medium","epipelagic","coastal","1.0","0.0"
"Actinopterygii","Perciformes","Stromateidae","Peprilus simillimus","Peprilus simillimus (adult)","adult","juvenile",NA,"species level info, but not a lot out there","medium","demersal","coastal","1.0","0.0"
"Actinopterygii","Perciformes","Stromateidae","Peprilus simillimus","Peprilus simillimus (juvenile)","juvenile","juvenile",NA,"almost nothing known","low","epipelagic","coastal","1.0","0.0"
"Actinopterygii","Perciformes","Stromateidae","Peprilus simillimus","Peprilus simillimus (larva)","larva","juvenile",NA,"almost nothing known","low","epipelagic","coastal","1.0","0.0"
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","Tetragonurus atlanticus (adult)","adult","juvenile","Could explain tunicates in albacore diets?","almost nothing known","low","mesopelagic","oceanic","0.0","1.0"
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","Tetragonurus atlanticus (juvenile)","juvenile","juvenile","Could explain tunicates in albacore diets?","almost nothing known","low","epipelagic","oceanic","0.0","0.0"
