"prey_sp","prey_age_reported_1","maxl_type","maxL (cm)","maxGape (cm)","life_stage","life_note"
"Engraulis mordax","juvenile","TL",4,7.38732,"juvenile","McHugh (1952), Pinkas et al. (1971), Glaser (2010) and Bernard et al. (1985) all reported juvenile life stage consumed"
"Engraulis mordax","none","NO",0,7.97988,"juvenile","McHugh (1952), Pinkas et al. (1971), Glaser (2010) and Bernard et al. (1985) all reported juvenile life stage consumed"
"Entelurus aequoreus","none","NO",0,7.75767,"juvenile","Most likely juvenile / young-of-year"
"Eucleoteuthis luminosa","none","NO",0,9.61765,"juvenile",NA
"Euphausia pacifica","adult","NO",0,7.38732,"adult",NA
"Eusergestes arcticus","adult","NO",0,7.75767,"adult","Bouxin & Legendre"
"Eusergestes arcticus","juvenile","NO",0,7.75767,"adult","Bouxin & Legendre"
"Eusergestes similis","adult","NO",0,7.38732,"adult","Pinkas et al. (1971)"
"Eusergestes similis","none","PB",3.6,7.97988,"adult","Pinkas et al. (1971)"
"Eutrigla gurnardus","none","NO",0,7.75767,"juvenile","Most likely juvenile / young-of-year"
"Funchalia taaningi","none","NO",0,9.61765,"adult",NA
"Funchalia woodwardi","none","NO",0,9.61765,"adult",NA
"Gaidropsarus vulgaris","none","NO",0,7.75767,"juvenile","Could be larva based on trait information"
"Galiteuthis armata","none","NO",0,7.75767,"juvenile",NA
"Galiteuthis phyllura","none","NO",0,7.38732,"juvenile","Most likely juvenile / young-of-year"
"Gempylus serpens","none","NO",0,9.61765,"juvenile",NA
"Gennadas elegans","juvenile","NO",0,7.75767,"juvenile","Bouxin & Legendre reported juveniles"
"Glyptocephalus zachirus","none","NO",0,7.38732,"juvenile","Most likely juvenile / young-of-year"
"Gonatopsis borealis","juvenile","NO",0,7.97988,"juvenile","Glaser (2010) and Watanabe et al. (2004) reported juveniles"
"Gonatopsis borealis","none","NO",0,7.0256938,"juvenile","Glaser (2010) and Watanabe et al. (2004) reported juveniles"
"Gonatus berryi","none","NO",0,7.0256938,"juvenile",NA
"Gonatus californiensis","juvenile","PB",0.12,7.97988,"juvenile","Glaser (2010) reported juveniles"
"Gonatus onyx","juvenile","PB",0.15,7.97988,"juvenile","Glaser (2010) reported juveniles"
"Gonatus pyros","juvenile","NO",0,7.97988,"juvenile","Glaser (2010) reported juveniles"
"Gonatus steenstrupi","none","ML",10.8,7.75767,"juvenile",NA
"Gonatus steenstrupi","none","NO",0,7.75767,"juvenile",NA
"Grimalditeuthis bonplandi","none","NO",0,9.61765,"juvenile",NA
"Halichoeres nicholsi","none","NO",0,7.38732,"juvenile","Based on traits"
"Haliphron atlanticus","none","NO",0,9.15677,"juvenile","Most likely juvenile / young-of-year"
"Helicocranchia pfefferi","none","NO",0,7.75767,"adult","Very little info"
"Helicolenus dactylopterus","none","NO",0,7.75767,"juvenile",NA
"Heterocarpus laevigatus","none","NO",0,9.61765,"juvenile",NA
"Heteroteuthis dispar","adult","ML",2.58,7.1075,"adult",NA
"Heteroteuthis dispar","adult","NO",0,9.52712,"adult",NA
"Heteroteuthis dispar","none","NO",0,7.83997,"adult",NA
"Histioteuthis bonnellii","juvenile","NO",0,7.1075,"juvenile","Bello et al. (1999)"
"Histioteuthis bonnellii","none","NO",0,7.75767,"juvenile","Bello et al. (1999)"
"Histioteuthis heteropsis","none","NO",0,7.38732,"juvenile",NA
"Histioteuthis meleagroteuthis","none","NO",0,9.61765,"juvenile",NA
"Histioteuthis reversa","none","NO",0,9.52712,"juvenile",NA
"Hyaloteuthis pelagica","none","NO",0,9.175699,"juvenile","Most likely juvenile / young-of-year"
"Hygophum hygomii","none","NO",0,9.61765,"adult",NA
"Hyperia galba","adult","NO",0,7.75767,"adult",NA
"Hyperia galba","none","NO",0,7.75767,"adult",NA
"Icichthys lockingtoni","none","NO",0,7.97988,"juvenile",NA
"Idotea metallica","none","NO",0,7.75767,"adult","unlikely to have eaten larva"
"Illex argentinus","juvenile","NO",0,9.15677,"juvenile",NA
"Illex coindetii","none","NO",0,9.52712,"juvenile",NA
"Janicella spinicauda","none","NO",0,9.61765,"adult",NA
"Janthina exigua","none","NO",0,7.75767,"adult",NA
"Japetella diaphana","none","NO",0,9.61765,"juvenile","Based on habitat traits"
"Japetella heathi","none","NO",0,9.175699,"juvenile","Based on habitat traits"
"Katsuwonus pelamis","none","NO",0,7.2721,"juvenile","Most likely juvenile / young-of-year"
"Lactoria diaphana","none","NO",0,7.2721,"juvenile",NA
"Lagocephalus lagocephalus","none","NO",0,9.61765,"juvenile","Could be larval but lacking size info"
"Lampadena luminosa","none","NO",0,9.61765,"juvenile",NA
"Lampanyctodes hectoris","none","NO",0,9.61765,"adult",NA
"Lampanyctus alatus","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported age"
"Lampanyctus crocodilus","adult","NO",0,7.75767,"juvenile","Bouxin & Legendre reported age"
"Lampanyctus intricarius","adult","NO",0,7.75767,"juvenile","Bouxin & Legendre reported age"
"Lampanyctus mexicanus","larva","NO",0,7.38732,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Lanceola sayana","adult","NO",0,7.75767,"adult",NA
"Lepidocybium flavobrunneum","none","NO",0,9.61765,"juvenile",NA
