dendlabs,prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant_cat,refuge_cat,season_cat,gregarious,prob.clust.num
99,Actinopterygii,Perciformes,Mugilidae,Mugil cephalus,none,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
105,Malacostraca,Euphausiacea,Euphausiidae,Nematoscelis megalops,adult,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
106,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes australis,none,adult,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
108,Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes bartramii,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,3
109,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,3
110,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis borealijaponica,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,3
119,Malacostraca,Amphipoda,Phrosinidae,Phrosina semilunata,none,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
120,Malacostraca,Amphipoda,Platyscelidae,Platyscelus serratulus,none,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
121,Malacostraca,Decapoda,Munididae,Pleuroncodes planipes,adult,adult,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
123,Actinopterygii,Tetraodontiformes,Molidae,Ranzania laevis,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,3
125,Actinopterygii,Clupeiformes,Clupeidae,Sardina pilchardus,none,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
127,Actinopterygii,Clupeiformes,Clupeidae,Sardinops sagax,juvenile,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
128,Cephalopoda,Octopoda,Octopodidae,Scaeurgus unicirrhus,juvenile,juvenile,benthic,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
129,Actinopterygii,Perciformes,Scombridae,Scomber japonicus,none,juvenile,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
130,Actinopterygii,Perciformes,Scombridae,Scomber scombrus,none,juvenile,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
134,Cephalopoda,Sepiida,Sepiolidae,Sepietta oweniana,none,adult,benthic,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
139,Malacostraca,Amphipoda,Oxyccephalidae,Streetsia challengeri,none,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
146,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys pacificus,none,juvenile,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,3
148,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes pacificus,none,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
149,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,juvenile,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
150,Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis eblanae,none,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
152,Actinopterygii,Perciformes,Carangidae,Trachurus japonicus,none,juvenile,epipelagic,coastal,diel (yes),refuge (yes),season (yes),schooling,3
153,Actinopterygii,Perciformes,Carangidae,Trachurus symmetricus,juvenile,juvenile,epipelagic,oceanic,diel (yes),refuge (yes),season (yes),schooling,3
154,Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,none,juvenile,epipelagic,coastal,diel (yes),refuge (yes),season (yes),schooling,3
5,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma fimbria,none,juvenile,epipelagic,continental shelf,diel (no),refuge (no),season (yes),schooling,4
7,Cephalopoda,Octopoda,Argonautidae,Argonauta argo,none,adult,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,4
8,Cephalopoda,Octopoda,Argonautidae,Argonauta nodosus,none,adult,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,4
11,Actinopterygii,Atheriniformes,Atherinidae,Atherinopsis californiensis,none,juvenile,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,4
13,Actinopterygii,Beloniformes,Belonidae,Belone belone,none,juvenile,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,4
